label,t,mission_state,arm_ready_state,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,uav_pos_error,uav_xy_error,uav_z_error,uav_yaw_deg,target_yaw_deg,uav_yaw_error_deg,arm_pos_error,arm_axis_error_deg,arm_centerline_error
baseline_fixed_launch,0.0000,-1,0,-0.440947,0.131448,2.614786,-0.481903,0.025482,2.773127,0.600000,-0.350000,0.225000,2.650744,1.146893,2.389786,5.358027,5.367885,0.009858,nan,nan,nan
baseline_fixed_launch,0.0490,-1,0,-0.444664,0.133223,2.659978,-0.498726,0.081286,2.665000,0.600000,-0.350000,0.225000,2.693315,1.151011,2.434978,5.341824,5.367885,0.026061,nan,nan,nan
baseline_fixed_launch,0.0990,-1,0,-0.437531,0.138656,2.705437,-0.495187,0.170175,2.671825,0.600000,-0.350000,0.225000,2.732732,1.146846,2.480437,5.299768,5.367885,0.068117,nan,nan,nan
baseline_fixed_launch,0.1490,-1,0,-0.434128,0.141950,2.755844,-0.462423,0.101490,2.731433,0.600000,-0.350000,0.225000,2.777878,1.145179,2.530844,5.255799,5.367885,0.112086,nan,nan,nan
baseline_fixed_launch,0.1990,-1,0,-0.436164,0.146108,2.796275,-0.477572,0.154926,2.784483,0.600000,-0.350000,0.225000,2.816241,1.148808,2.571275,5.227057,5.367885,0.140828,nan,nan,nan
baseline_fixed_launch,0.2500,-1,0,-0.438008,0.153106,2.861489,-0.447818,0.082558,2.841550,0.600000,-0.350000,0.225000,2.877786,1.153506,2.636489,5.187121,5.367885,0.180764,nan,nan,nan
baseline_fixed_launch,0.2990,-1,0,-0.432187,0.153567,2.891676,-0.481323,0.127898,2.822430,0.600000,-0.350000,0.225000,2.903473,1.148473,2.666676,5.144896,5.367885,0.222989,nan,nan,nan
baseline_fixed_launch,0.3490,-1,0,-0.429961,0.156534,2.924149,-0.455242,0.205892,2.806709,0.600000,-0.350000,0.225000,2.933053,1.147779,2.699149,5.117581,5.367885,0.250304,nan,nan,nan
baseline_fixed_launch,0.4010,-1,0,-0.430570,0.160898,2.988547,-0.425721,0.115367,2.900749,0.600000,-0.350000,0.225000,2.993374,1.150257,2.763547,5.063033,5.367885,0.304852,nan,nan,nan
baseline_fixed_launch,0.4490,-1,0,-0.431542,0.165338,3.053009,-0.422677,0.168531,2.878396,0.600000,-0.350000,0.225000,3.054061,1.153106,2.828009,5.021789,5.367885,0.346096,nan,nan,nan
