label,t,mission_state,arm_ready_state,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,uav_pos_error,uav_xy_error,uav_z_error,uav_yaw_deg,target_yaw_deg,uav_yaw_error_deg,arm_pos_error,arm_axis_error_deg,arm_centerline_error
current_grasp,0.0000,-1,0,-0.139915,-0.950539,4.000187,-0.311467,-1.831871,6.277121,0.600000,-0.350000,0.225000,3.893605,0.952954,3.775187,-4.564134,-4.550190,0.013944,nan,nan,nan
current_grasp,0.0500,-1,0,-0.127138,-0.839344,4.344868,-0.327018,-1.502711,6.609501,0.600000,-0.350000,0.225000,4.212066,0.876463,4.119868,-4.629515,-4.550190,0.079325,nan,nan,nan
current_grasp,0.1010,-1,0,-0.121363,-0.774994,4.571938,-0.311493,-1.300853,6.792744,0.600000,-0.350000,0.225000,4.426833,0.837248,4.346938,-4.670839,-4.550190,0.120649,nan,nan,nan
current_grasp,0.1500,-1,0,-0.114127,-0.677377,4.880173,-0.275785,-1.104987,6.757651,0.600000,-0.350000,0.225000,4.720994,0.785591,4.655173,-4.739298,-4.550190,0.189108,nan,nan,nan
current_grasp,0.2030,-1,0,-0.102556,-0.582131,5.138984,-0.189995,-1.042237,6.515269,0.600000,-0.350000,0.225000,4.969377,0.739912,4.913984,-4.792111,-4.550190,0.241921,nan,nan,nan
current_grasp,0.2520,-1,0,-0.087973,-0.489387,5.396597,-0.098800,-0.988253,6.197638,0.600000,-0.350000,0.225000,5.219018,0.701951,5.171597,-4.877970,-4.550190,0.327780,nan,nan,nan
current_grasp,0.3010,-1,0,-0.071575,-0.414591,5.647766,-0.029935,-0.936627,5.930326,0.600000,-0.350000,0.225000,5.464575,0.674674,5.422766,-4.966016,-4.550190,0.415826,nan,nan,nan
current_grasp,0.3500,-1,0,-0.057445,-0.364169,5.790456,0.026213,-0.864520,5.770150,0.600000,-0.350000,0.225000,5.604172,0.657598,5.565456,-5.027925,-4.550190,0.477735,nan,nan,nan
current_grasp,0.4010,-1,0,-0.040088,-0.311524,5.940443,0.089847,-0.799355,5.650960,0.600000,-0.350000,0.225000,5.751302,0.641243,5.715443,-5.071430,-4.550190,0.521240,nan,nan,nan
current_grasp,0.4500,-1,0,-0.010573,-0.242759,6.138733,0.192302,-0.728273,5.427026,0.600000,-0.350000,0.225000,5.946137,0.619919,5.913733,-5.161009,-4.550190,0.610819,nan,nan,nan
current_grasp,0.5000,-1,0,0.010244,-0.208908,6.262438,0.258527,-0.694811,5.311498,0.600000,-0.350000,0.225000,6.067815,0.606398,6.037438,-5.213808,-4.550190,0.663618,nan,nan,nan
current_grasp,0.5500,-1,0,0.039850,-0.171319,6.396623,0.341165,-0.726351,4.983724,0.600000,-0.350000,0.225000,6.199567,0.587959,6.171623,-5.301825,-4.550190,0.751635,nan,nan,nan
current_grasp,0.6000,-1,0,0.057932,-0.139370,6.486256,0.315498,-0.745817,4.719785,0.600000,-0.350000,0.225000,6.288206,0.581552,6.261256,-5.347061,-4.550190,0.796871,nan,nan,nan
current_grasp,0.6500,-1,0,0.085237,-0.099566,6.600542,0.316229,-0.586841,4.680793,0.600000,-0.350000,0.225000,6.401190,0.572449,6.375542,-5.428063,-4.550190,0.877873,nan,nan,nan
current_grasp,0.7000,-1,0,0.100563,-0.080651,6.668766,0.287251,-0.524972,4.611094,0.600000,-0.350000,0.225000,6.468702,0.567438,6.443766,-5.489908,-4.550190,0.939718,nan,nan,nan
current_grasp,0.7500,-1,0,0.117490,-0.056956,6.732751,0.255214,-0.444715,4.499518,0.600000,-0.350000,0.225000,6.532190,0.564527,6.507751,-5.581480,-4.550190,1.031290,nan,nan,nan
current_grasp,0.8000,-1,0,0.121842,-0.026093,6.783722,0.276744,-0.268716,4.412342,0.600000,-0.350000,0.225000,6.584101,0.577539,6.558722,-5.626157,-4.550190,1.075967,nan,nan,nan
current_grasp,0.8500,-1,0,0.130346,0.027434,6.835991,0.269415,-0.051636,4.277322,0.600000,-0.350000,0.225000,6.638391,0.602521,6.610991,-5.691349,-4.550190,1.141159,nan,nan,nan
current_grasp,0.9000,-1,0,0.136154,0.056268,6.865975,0.310778,0.041329,4.089896,0.600000,-0.350000,0.225000,6.669540,0.616609,6.640975,-5.730192,-4.550190,1.180002,nan,nan,nan
current_grasp,0.9500,-1,0,0.146111,0.096254,6.871076,0.349795,0.106237,3.787397,0.600000,-0.350000,0.225000,6.676487,0.636520,6.646076,-5.786613,-4.550190,1.236423,nan,nan,nan
current_grasp,1.0000,-1,0,0.149079,0.131035,6.876831,0.322292,0.144452,3.805974,0.600000,-0.350000,0.225000,6.684428,0.659337,6.651831,-5.826473,-4.550190,1.276283,nan,nan,nan
current_grasp,1.0500,-1,0,0.155599,0.176690,6.876332,0.375040,0.174814,3.884969,0.600000,-0.350000,0.225000,6.686936,0.689126,6.651332,-5.883005,-4.550190,1.332815,nan,nan,nan
current_grasp,1.1000,-1,0,0.161870,0.199195,6.877707,0.348612,0.184521,3.761003,0.600000,-0.350000,0.225000,6.689699,0.702548,6.652707,-5.917908,-4.550190,1.367718,nan,nan,nan
current_grasp,1.1500,-1,0,0.167421,0.229762,6.849274,0.351430,0.351106,3.932103,0.600000,-0.350000,0.225000,6.663651,0.723359,6.624274,-5.963904,-4.550190,1.413714,nan,nan,nan
current_grasp,1.2000,-1,0,0.168682,0.250655,6.773448,0.400931,0.459122,3.954439,0.600000,-0.350000,0.225000,6.590068,0.739474,6.548448,-5.992738,-4.550190,1.442548,nan,nan,nan
current_grasp,1.2500,-1,0,0.173618,0.290913,6.664573,0.361058,0.687500,3.973145,0.600000,-0.350000,0.225000,6.485420,0.769786,6.439573,-6.050520,-4.550190,1.500330,nan,nan,nan
current_grasp,1.3010,-1,0,0.177613,0.316053,6.616738,0.383234,0.712260,4.068185,0.600000,-0.350000,0.225000,6.440214,0.788694,6.391738,-6.084719,-4.550190,1.534529,nan,nan,nan
current_grasp,1.3500,-1,0,0.183675,0.350029,6.536657,0.411607,0.697270,3.975228,0.600000,-0.350000,0.225000,6.363991,0.814473,6.311657,-6.126271,-4.550190,1.576081,nan,nan,nan
current_grasp,1.4000,-1,0,0.183249,0.366078,6.422913,0.354764,0.745497,3.788584,0.600000,-0.350000,0.225000,6.253045,0.828522,6.197913,-6.163113,-4.550190,1.612923,nan,nan,nan
current_grasp,1.4510,-1,0,0.182087,0.389479,6.263712,0.345801,0.622394,3.503076,0.600000,-0.350000,0.225000,6.098157,0.849400,6.038712,-6.183041,-4.550190,1.632851,nan,nan,nan
current_grasp,1.5000,-1,0,0.182956,0.401906,6.176773,0.359486,0.665665,3.570029,0.600000,-0.350000,0.225000,6.013559,0.859819,5.951773,-6.196902,-4.550190,1.646712,nan,nan,nan
current_grasp,1.5500,-1,0,0.185533,0.412986,6.047534,0.387976,0.627114,3.334583,0.600000,-0.350000,0.225000,5.886921,0.868291,5.822534,-6.252113,-4.550190,1.701923,nan,nan,nan
current_grasp,1.6010,-1,0,0.183175,0.409138,5.908473,0.389191,0.511176,3.159467,0.600000,-0.350000,0.225000,5.749078,0.866045,5.683473,-6.273750,-4.550190,1.723560,nan,nan,nan
current_grasp,1.6500,-1,0,0.185394,0.398462,5.708966,0.455397,0.436042,2.911330,0.600000,-0.350000,0.225000,5.550313,0.855624,5.483966,-6.298892,-4.550190,1.748702,nan,nan,nan
current_grasp,1.7010,-1,0,0.189672,0.392541,5.596265,0.439458,0.510268,2.750908,0.600000,-0.350000,0.225000,5.437851,0.848373,5.371265,-6.324844,-4.550190,1.774654,nan,nan,nan
current_grasp,1.7500,-1,0,0.194214,0.383604,5.437693,0.373370,0.442568,2.547104,0.600000,-0.350000,0.225000,5.279678,0.838354,5.212693,-6.349216,-4.550190,1.799026,nan,nan,nan
current_grasp,1.8010,-1,0,0.191088,0.373822,5.291950,0.392444,0.426820,2.471631,0.600000,-0.350000,0.225000,5.134697,0.831341,5.066950,-6.367987,-4.550190,1.817797,nan,nan,nan
current_grasp,1.8500,-1,0,0.193575,0.367174,5.083807,0.456112,0.646668,2.255209,0.600000,-0.350000,0.225000,4.928238,0.824330,4.858807,-6.404202,-4.550190,1.854012,nan,nan,nan
current_grasp,1.9000,-1,0,0.196935,0.367484,4.962291,0.414223,0.733454,2.063908,0.600000,-0.350000,0.225000,4.808240,0.822949,4.737291,-6.425136,-4.550190,1.874946,nan,nan,nan
current_grasp,1.9510,-1,0,0.202624,0.374036,4.792651,0.483728,0.710187,1.727197,0.600000,-0.350000,0.225000,4.641720,0.825915,4.567651,-6.457489,-4.550190,1.907299,nan,nan,nan
current_grasp,2.0000,-1,0,0.203686,0.376057,4.617441,0.458228,0.626120,1.737432,0.600000,-0.350000,0.225000,4.469649,0.827179,4.392441,-6.479505,-4.550190,1.929315,nan,nan,nan
current_grasp,2.0500,-1,0,0.207489,0.374647,4.428065,0.480251,0.523155,1.465781,0.600000,-0.350000,0.225000,4.283099,0.824123,4.203065,-6.490552,-4.550190,1.940362,nan,nan,nan
current_grasp,2.1050,-1,0,0.214087,0.372385,4.255471,0.447270,0.573522,1.307243,0.600000,-0.350000,0.225000,4.112842,0.819005,4.030471,-6.484908,-4.550190,1.934718,nan,nan,nan
current_grasp,2.1500,-1,0,0.219132,0.372109,4.142020,0.455175,0.532867,1.285419,0.600000,-0.350000,0.225000,4.001193,0.816395,3.917020,-6.493580,-4.550190,1.943390,nan,nan,nan
