label,t,mission_state,arm_ready_state,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,uav_pos_error,uav_xy_error,uav_z_error,uav_yaw_deg,target_yaw_deg,uav_yaw_error_deg,arm_pos_error,arm_axis_error_deg,arm_centerline_error
current_projection,0.0000,-1,0,0.059353,-0.006445,2.473747,0.045713,-0.046014,0.812437,0.600000,-0.350000,0.225000,2.338202,0.640569,2.248747,38.114141,38.121864,0.007722,nan,nan,nan
current_projection,0.0500,-1,0,0.058562,-0.007094,2.471860,0.046477,-0.046264,0.813406,0.600000,-0.350000,0.225000,2.336475,0.640889,2.246860,38.112984,38.121864,0.008880,nan,nan,nan
current_projection,0.1000,-1,0,0.057612,-0.008717,2.470070,0.044250,-0.050017,0.812534,0.600000,-0.350000,0.225000,2.334737,0.640827,2.245070,38.103838,38.121864,0.018026,nan,nan,nan
current_projection,0.1500,-1,0,0.057445,-0.009906,2.468395,0.045117,-0.051757,0.812134,0.600000,-0.350000,0.225000,2.332992,0.640336,2.243395,38.117560,38.121864,0.004303,nan,nan,nan
current_projection,0.2000,-1,0,0.057697,-0.011701,2.468543,0.047358,-0.051124,0.814047,0.600000,-0.350000,0.225000,2.332814,0.639170,2.243543,38.101683,38.121864,0.020180,nan,nan,nan
current_projection,0.2500,-1,0,0.056748,-0.012471,2.465744,0.042787,-0.049466,0.813418,0.600000,-0.350000,0.225000,2.330232,0.639569,2.240744,38.093067,38.121864,0.028796,nan,nan,nan
current_projection,0.3000,-1,0,0.055819,-0.013911,2.461811,0.040253,-0.050609,0.810653,0.600000,-0.350000,0.225000,2.326459,0.639600,2.236811,38.087160,38.121864,0.034704,nan,nan,nan
current_projection,0.3500,-1,0,0.055609,-0.014900,2.459486,0.041907,-0.049975,0.809242,0.600000,-0.350000,0.225000,2.324130,0.639260,2.234486,38.097848,38.121864,0.024016,nan,nan,nan
current_projection,0.4000,-1,0,0.055742,-0.016356,2.458993,0.040170,-0.048101,0.805574,0.600000,-0.350000,0.225000,2.323416,0.638385,2.233993,38.092552,38.121864,0.029312,nan,nan,nan
current_projection,0.4500,-1,0,0.054895,-0.016795,2.456057,0.039429,-0.047890,0.804891,0.600000,-0.350000,0.225000,2.320728,0.638878,2.231057,38.099254,38.121864,0.022610,nan,nan,nan
current_projection,0.5000,-1,0,0.054304,-0.017787,2.452754,0.042110,-0.047490,0.804471,0.600000,-0.350000,0.225000,2.317550,0.638866,2.227754,38.095485,38.121864,0.026379,nan,nan,nan
current_projection,0.5500,-1,0,0.054392,-0.018506,2.452826,0.044339,-0.045742,0.803173,0.600000,-0.350000,0.225000,2.317495,0.638417,2.227826,38.080127,38.121864,0.041737,nan,nan,nan
current_projection,0.6000,-1,0,0.054849,-0.019656,2.452628,0.040960,-0.045913,0.805417,0.600000,-0.350000,0.225000,2.317033,0.637430,2.227628,38.064678,38.121864,0.057186,nan,nan,nan
current_projection,0.6500,-1,0,0.053881,-0.019889,2.449737,0.039918,-0.045089,0.804880,0.600000,-0.350000,0.225000,2.314449,0.638138,2.224737,38.064571,38.121864,0.057293,nan,nan,nan
current_projection,0.7000,-1,0,0.052932,-0.020513,2.446005,0.035670,-0.043332,0.805124,0.600000,-0.350000,0.225000,2.310997,0.638628,2.221005,38.065286,38.121864,0.056578,nan,nan,nan
current_projection,0.7500,-1,0,0.052648,-0.020958,2.445889,0.037429,-0.042257,0.801783,0.600000,-0.350000,0.225000,2.310890,0.638641,2.220889,38.058539,38.121864,0.063324,nan,nan,nan
current_projection,0.8000,-1,0,0.052725,-0.021677,2.445385,0.036305,-0.039300,0.801128,0.600000,-0.350000,0.225000,2.310285,0.638205,2.220385,38.051972,38.121864,0.069892,nan,nan,nan
current_projection,0.8500,-1,0,0.051545,-0.021585,2.443060,0.035080,-0.038919,0.797609,0.600000,-0.350000,0.225000,2.308343,0.639265,2.218060,38.050230,38.121864,0.071634,nan,nan,nan
current_projection,0.9000,-1,0,0.050698,-0.021740,2.439898,0.032877,-0.037957,0.793293,0.600000,-0.350000,0.225000,2.305485,0.639912,2.214898,38.071966,38.121864,0.049898,nan,nan,nan
current_projection,0.9500,-1,0,0.050353,-0.021957,2.439442,0.033073,-0.036607,0.790140,0.600000,-0.350000,0.225000,2.305098,0.640097,2.214442,38.069801,38.121864,0.052062,nan,nan,nan
current_projection,1.0000,-1,0,0.050306,-0.022465,2.438908,0.034207,-0.038078,0.792234,0.600000,-0.350000,0.225000,2.304524,0.639877,2.213908,38.058863,38.121864,0.063001,nan,nan,nan
current_projection,1.0500,-1,0,0.049565,-0.022387,2.438985,0.033613,-0.038698,0.794495,0.600000,-0.350000,0.225000,2.304786,0.640554,2.213985,38.048974,38.121864,0.072890,nan,nan,nan
current_projection,1.1000,-1,0,0.048618,-0.022273,2.435433,0.033555,-0.035431,0.794099,0.600000,-0.350000,0.225000,2.301617,0.641426,2.210433,38.048113,38.121864,0.073751,nan,nan,nan
current_projection,1.1500,-1,0,0.048317,-0.022252,2.437472,0.028311,-0.032553,0.792421,0.600000,-0.350000,0.225000,2.303650,0.641695,2.212472,38.045130,38.121864,0.076734,nan,nan,nan
current_projection,1.2000,-1,0,0.048048,-0.022520,2.437266,0.026905,-0.034540,0.793556,0.600000,-0.350000,0.225000,2.303479,0.641789,2.212266,38.037459,38.121864,0.084405,nan,nan,nan
current_projection,1.2500,-1,0,0.047151,-0.022316,2.438498,0.027668,-0.036136,0.795433,0.600000,-0.350000,0.225000,2.304906,0.642665,2.213498,38.026236,38.121864,0.095628,nan,nan,nan
