sim_time_s,wall_time_s,state,active_reference_kind,active_joint_reference_kind,ref_px,ref_py,ref_pz,px,py,pz,vx,vy,vz,roll_rad,pitch_rad,yaw_rad,wx,wy,wz,position_error_m,position_error_to_active_reference_m,position_error_to_final_hold_m,position_error_to_initial_m,takeoff_transition_error_m,joint_error_to_active_reference_deg,joint_error_to_neutral_deg,max_joint_error_to_active_reference_deg,max_joint_error_to_neutral_deg,speed_mps,yaw_error_rad,max_joint_error_rad,offboard,armed,q_shoulder_pan_joint,qd_shoulder_pan_joint,qcmd_shoulder_pan_joint,effort_shoulder_pan_joint,qref_shoulder_pan_joint,q_shoulder_lift_joint,qd_shoulder_lift_joint,qcmd_shoulder_lift_joint,effort_shoulder_lift_joint,qref_shoulder_lift_joint,q_elbow_joint,qd_elbow_joint,qcmd_elbow_joint,effort_elbow_joint,qref_elbow_joint,q_wrist_1_joint,qd_wrist_1_joint,qcmd_wrist_1_joint,effort_wrist_1_joint,qref_wrist_1_joint,q_wrist_roll_joint,qd_wrist_roll_joint,qcmd_wrist_roll_joint,effort_wrist_roll_joint,qref_wrist_roll_joint,q_left_knuckle_joint,qd_left_knuckle_joint,qcmd_left_knuckle_joint,effort_left_knuckle_joint,qref_left_knuckle_joint
7.85,0.14208424600019498,ARM_NEUTRALIZE,INITIAL_HOLD,ARM_NEUTRALIZE_PROFILE,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.03685572370886803,-0.0008655457058921456,0.06200752779841423,-0.0214297508235544,0.027627937967078874,-0.07124345856203378,0.0009088945225812495,-0.006558381021022797,0.0002380872901994743,0.0,0.0,0.9346750311553456,0.0,nan,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[14.020309559578006, -6.550076175902022, 9.92368040039264, 7.959505849150509, -0.6422648832017223, -0.06337869325804325]",0.0,14.020309559578006,0.07213894262563403,-0.07124345856203376,0.0,False,False,0.24470056396347228,0.0423743176736944,0.24470056396347228,nan,0.24470056396347228,-0.11432039552592954,-0.002786264373102856,-0.11432039552592954,nan,-0.11432039552592954,0.17320089690248075,0.006599512383022671,0.17320089690248075,nan,0.17320089690248075,0.1389195838994235,0.007154035890360479,0.1389195838994235,nan,0.1389195838994235,-0.011209636881806873,-0.0719933439118004,-0.011209636881806873,nan,-0.011209636881806873,-0.001106166872964387,-0.049403058454533216,-0.001106166872964387,nan,-0.001106166872964387
7.85,0.17810563300008653,ARM_NEUTRALIZE,INITIAL_HOLD,ARM_NEUTRALIZE_PROFILE,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.03685572370886803,-0.0008655457058921456,0.06200752779841423,-0.0214297508235544,0.027627937967078874,-0.07124345856203378,0.0009088945225812495,-0.006558381021022797,0.0002380872901994743,0.0,0.0,0.9346750311553456,0.0,nan,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[14.020309559578006, -6.550076175902022, 9.92368040039264, 7.959505849150509, -0.6422648832017223, -0.06337869325804325]",0.0,14.020309559578006,0.07213894262563403,-0.07124345856203376,0.0,False,False,0.24470056396347228,0.0423743176736944,0.24470056396347228,nan,0.24470056396347228,-0.11432039552592954,-0.002786264373102856,-0.11432039552592954,nan,-0.11432039552592954,0.17320089690248075,0.006599512383022671,0.17320089690248075,nan,0.17320089690248075,0.1389195838994235,0.007154035890360479,0.1389195838994235,nan,0.1389195838994235,-0.011209636881806873,-0.0719933439118004,-0.011209636881806873,nan,-0.011209636881806873,-0.001106166872964387,-0.049403058454533216,-0.001106166872964387,nan,-0.001106166872964387
7.858,0.2505525899996428,ARM_NEUTRALIZE,INITIAL_HOLD,ARM_NEUTRALIZE_PROFILE,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.03685572370886803,-0.0008655457058921456,0.06200752779841423,-0.0214297508235544,0.027627937967078874,-0.07124345856203378,0.0009088945225812495,-0.006558381021022797,0.0002380872901994743,0.0,0.0,0.9346750311553456,0.0,nan,"[0.04672432352454758, -0.005508320736312962, 0.004915468216583019, 0.0048843354209347385, 0.02754290164022388, -0.0012987628570687608]","[14.067031235059765, -6.55558325951287, 9.92859399430465, 7.96438868124429, -0.6147218602556966, -0.06467744414465652]",0.04672432352454758,14.067031235059765,0.07213894262563403,-0.07124345856203376,0.0008154932862703967,False,False,0.24551601103267728,0.04282267606900179,0.2447005177464069,nan,0.2447005177464069,-0.11441651226712146,-0.0032207293749451265,-0.11432037393401692,nan,-0.11432037393401692,0.17328665529435128,0.006594996028812597,0.17320086418969477,nan,0.17320086418969477,0.13900480539628202,0.006917840749625861,0.13891955766141492,nan,0.13891955766141492,-0.010728920445446377,0.7959098473595296,-0.01120963476462123,nan,-0.01120963476462123,-0.001128834352098984,-0.06342016408289859,-0.0011061666640405257,nan,-0.0011061666640405257
7.862,0.32828119399982825,ARM_NEUTRALIZE,INITIAL_HOLD,ARM_NEUTRALIZE_PROFILE,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.03685572370886803,-0.0008655457058921456,0.06200752779841423,-0.0214297508235544,0.027627937967078874,-0.07124345856203378,0.0009088945225812495,-0.006558381021022797,0.0002380872901994743,0.0,0.0,0.9346750311553456,0.0,nan,"[0.046730594728029505, -0.005511250547552297, 0.004919907021504227, 0.004887895661924876, 0.02754261435885145, -0.0012987912059921768]","[14.067031235059765, -6.55558325951287, 9.92859399430465, 7.96438868124429, -0.6147218602556966, -0.06467744414465652]",0.046730594728029505,14.067031235059765,0.07213894262563403,-0.07124345856203376,0.0008156027394192189,False,False,0.24551601103267728,0.04282267606900179,0.24470040829325806,nan,0.24470040829325806,-0.11441651226712146,-0.0032207293749451265,-0.11432032279916433,nan,-0.11432032279916433,0.17328665529435128,0.006594996028812597,0.17320078671793404,nan,0.17320078671793404,0.13900480539628202,0.006917840749625861,0.13891949552348748,nan,0.13891949552348748,-0.010728920445446377,0.7959098473595296,-0.011209629750615402,nan,-0.011209629750615402,-0.001128834352098984,-0.06342016408289859,-0.0011061661692584727,nan,-0.0011061661692584727
7.878,0.4025730610001119,ARM_NEUTRALIZE,INITIAL_HOLD,ARM_NEUTRALIZE_PROFILE,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.006615008693188429,0.0070593212731182575,0.06554427742958069,0.03643041104078293,-0.00150715047493577,0.06158943101763725,-0.02139956339881184,0.027586644801836143,-0.07115778873509282,0.00109100213740021,-0.004997056908905506,-0.0007965216645970934,0.0005661213467135204,0.0005661213467135204,0.9345057997687615,0.0005661213467135204,nan,"[0.09279602477436193, -0.01133480028166134, 0.009496167793028669, 0.009638713035738862, -0.002309316994420605, -0.0036652047627804565]","[14.11299318394938, -6.561358464418615, 9.933097010336294, 7.969080751065586, -0.644569051177757, -0.06704338991573283]",0.09279602477436193,14.11299318394938,0.0715730701048292,-0.07115778873509282,0.0016195961650748436,False,False,0.24631819837143443,0.03573498882156746,0.24469860220635958,nan,0.24469860220635958,-0.11451730860770404,-0.0024173225642100307,-0.11431947902273307,nan,-0.11431947902273307,0.17336524775037354,0.007143061959358148,0.17319950835606335,nan,0.17319950835606335,0.13908669746339708,0.008651087314696212,0.13891847018526854,nan,0.13891847018526854,-0.011249852199507693,-0.13403869183499473,-0.011209547014482794,nan,-0.011209547014482794,-0.0011701278957279015,-0.055282583750278586,-0.0011061580048576049,nan,-0.0011061580048576049
7.878,0.47801887300011003,ARM_NEUTRALIZE,INITIAL_HOLD,ARM_NEUTRALIZE_PROFILE,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.006615008693188429,0.0070593212731182575,0.06554427742958069,0.03643041104078293,-0.00150715047493577,0.06158943101763725,-0.02139956339881184,0.027586644801836143,-0.07115778873509282,0.00109100213740021,-0.004997056908905506,-0.0007965216645970934,0.0005661213467135204,0.0005661213467135204,0.9345057997687615,0.0005661213467135204,nan,"[0.09279602477436193, -0.01133480028166134, 0.009496167793028669, 0.009638713035738862, -0.002309316994420605, -0.0036652047627804565]","[14.11299318394938, -6.561358464418615, 9.933097010336294, 7.969080751065586, -0.644569051177757, -0.06704338991573283]",0.09279602477436193,14.11299318394938,0.0715730701048292,-0.07115778873509282,0.0016195961650748436,False,False,0.24631819837143443,0.03573498882156746,0.24469860220635958,nan,0.24469860220635958,-0.11451730860770404,-0.0024173225642100307,-0.11431947902273307,nan,-0.11431947902273307,0.17336524775037354,0.007143061959358148,0.17319950835606335,nan,0.17319950835606335,0.13908669746339708,0.008651087314696212,0.13891847018526854,nan,0.13891847018526854,-0.011249852199507693,-0.13403869183499473,-0.011209547014482794,nan,-0.011209547014482794,-0.0011701278957279015,-0.055282583750278586,-0.0011061580048576049,nan,-0.0011061580048576049
7.896,0.5549596159999055,ARM_NEUTRALIZE,INITIAL_HOLD,ARM_NEUTRALIZE_PROFILE,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.006334559991955757,0.006953665986657143,0.0658213198184967,0.03626687824726105,-0.0013139239745214581,0.061455730348825455,-0.02136641946475475,0.027547613435559157,-0.07101094156968207,0.0011993374209851027,-0.0050351060926914215,-0.0004478953196667129,0.0009498108404615033,0.0009498108404615033,0.9342260361532434,0.0009498108404615033,nan,"[0.13796896950475382, -0.01701146173769139, 0.014128552688700783, 0.014640076530790328, 0.007968073871764616, -0.003884200674288157]","[14.157784645489171, -6.5668569027086265, 9.937459378564677, 7.973865541761439, -0.6342741847161997, -0.06726066133563659]",0.13796896950475382,14.157784645489171,0.07137100004007248,-0.07101094156968207,0.0024080127834416043,False,False,0.2470999568520842,0.04064426937499415,0.2446919440686426,nan,0.2446919440686426,-0.11461327445958247,-0.005560206443971783,-0.11431636844168272,nan,-0.11431636844168272,0.17344138543914323,0.0019310100094116706,0.1731947956761839,nan,0.1731947956761839,0.1391702078150585,0.0012637099526969578,0.13891469027685227,nan,0.13891469027685227,-0.01107017288370038,-0.14888810774482233,-0.011209242007804805,nan,-0.011209242007804805,-0.0011739199973757053,-0.05910622353280521,-0.001106127906801193,nan,-0.001106127906801193
7.918,0.6327159209995443,ARM_NEUTRALIZE,INITIAL_HOLD,ARM_NEUTRALIZE_PROFILE,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.005718892440199852,0.006820933427661657,0.06587938219308853,0.035173073410987854,-0.0016044351505115628,0.06128544360399246,-0.02134722805880633,0.027437811543885908,-0.07082596288506363,0.0007446490926668048,-0.006780161522328854,0.0006877272971905777,0.0015513765524651797,0.0015513765524651797,0.9341630261766588,0.0015513765524651797,nan,"[0.1820028720464492, -0.022391374709551014, 0.01942839694092122, 0.020636268027416003, 0.019927744872868948, -0.004960331816586667]","[14.200734688589817, -6.571730452973396, 9.941992058964615, 7.979246412638786, -0.6222648625391101, -0.06833189290030758]",0.1820028720464492,14.200734688589817,0.0706797347410492,-0.07082596288506363,0.0031765493652964882,False,False,0.24784957651806394,0.03941230499389508,0.24467302715276745,nan,0.24467302715276745,-0.11469833395796414,-0.0033875605050138332,-0.11430753074523468,nan,-0.11430753074523468,0.17352049563606275,0.005434318509008726,0.17318140614105929,nan,0.17318140614105929,0.1392641217284929,0.0065166316044746216,0.13890395090609045,nan,0.13890395090609045,-0.010860570670777392,0.8172572434876904,-0.011208375431306374,nan,-0.011208375431306374,-0.0011926165152305046,-0.07157814693665243,-0.0011060423930396358,nan,-0.0011060423930396358
7.918,0.7046868990000803,ARM_NEUTRALIZE,INITIAL_HOLD,ARM_NEUTRALIZE_PROFILE,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.005718892440199852,0.006820933427661657,0.06587938219308853,0.035173073410987854,-0.0016044351505115628,0.06128544360399246,-0.02134722805880633,0.027437811543885908,-0.07082596288506363,0.0007446490926668048,-0.006780161522328854,0.0006877272971905777,0.0015513765524651797,0.0015513765524651797,0.9341630261766588,0.0015513765524651797,nan,"[0.1820028720464492, -0.022391374709551014, 0.01942839694092122, 0.020636268027416003, 0.019927744872868948, -0.004960331816586667]","[14.200734688589817, -6.571730452973396, 9.941992058964615, 7.979246412638786, -0.6222648625391101, -0.06833189290030758]",0.1820028720464492,14.200734688589817,0.0706797347410492,-0.07082596288506363,0.0031765493652964882,False,False,0.24784957651806394,0.03941230499389508,0.24467302715276745,nan,0.24467302715276745,-0.11469833395796414,-0.0033875605050138332,-0.11430753074523468,nan,-0.11430753074523468,0.17352049563606275,0.005434318509008726,0.17318140614105929,nan,0.17318140614105929,0.1392641217284929,0.0065166316044746216,0.13890395090609045,nan,0.13890395090609045,-0.010860570670777392,0.8172572434876904,-0.011208375431306374,nan,-0.011208375431306374,-0.0011926165152305046,-0.07157814693665243,-0.0011060423930396358,nan,-0.0011060423930396358
7.9350000000000005,0.7758182170000509,ARM_NEUTRALIZE,INITIAL_HOLD,ARM_NEUTRALIZE_PROFILE,0.007133017294108868,0.00721804378554225,0.06538005918264389,0.0049940538592636585,0.006764531135559082,0.06577617675065994,0.034095246344804764,-0.0019199713133275509,0.060170091688632965,-0.021364787590439378,0.027276372687948514,-0.07066817750222873,-0.000324156426358968,-0.0063106706365942955,-0.0005758831975981586,0.0022221042790540957,0.0022221042790540957,0.9342616610896796,0.0022221042790540957,nan,"[0.18348010508760754, -0.023081515601806962, 0.02047399358164185, 0.021474911780728346, 0.019860073406514356, -0.004967009636315856]","[14.200734688589817, -6.571730452973396, 9.941992058964615, 7.979246412638786, -0.6222648625391101, -0.06833189290030758]",0.18348010508760754,14.200734688589817,0.06918534560855659,-0.07066817750222873,0.0032023319456839505,False,False,0.24784957651806394,0.03941230499389508,0.24464724457238,nan,0.24464724457238,-0.11469833395796414,-0.0033875605050138332,-0.11429548551436217,nan,-0.11429548551436217,0.17352049563606275,0.005434318509008726,0.17316315703703092,nan,0.17316315703703092,0.1392641217284929,0.0065166316044746216,0.13888931381134387,nan,0.13888931381134387,-0.010860570670777392,0.8172572434876904,-0.011207194341408834,nan,-0.011207194341408834,-0.0011926165152305046,-0.07157814693665243,-0.0011059258430985068,nan,-0.0011059258430985068
