cycle,time_s,status,solve_time_s,cost,e_p,e_v,e_R,e_omega,e_q,e_dq,e_q_shoulder_lift,abs_e_q_shoulder_lift,e_dq_shoulder_lift,abs_e_dq_shoulder_lift,e_q_elbow,abs_e_q_elbow,e_dq_elbow,abs_e_dq_elbow,e_q_wrist_1,abs_e_q_wrist_1,e_dq_wrist_1,abs_e_dq_wrist_1,e_q_wrist_roll,abs_e_q_wrist_roll,e_dq_wrist_roll,abs_e_dq_wrist_roll,J_p,J_v,J_R,J_omega,J_q,J_dq,J_u,J_nu,cmd_00,cmd_01,cmd_02,cmd_03,cmd_04,cmd_05,cmd_06,cmd_07,cmd_rate_00,cmd_rate_01,cmd_rate_02,cmd_rate_03,cmd_rate_04,cmd_rate_05,cmd_rate_06,cmd_rate_07
0,0.0,0,0.0032882850027817767,242.59883375040786,0.04123105625617661,0.0,0.08726646259971647,0.0,0.1,0.0,0.04999999999999999,0.04999999999999999,0.0,0.0,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.68,0.0,0.9999991428491917,0.0,4.0,0.0,0.0,1922.807816584555,8.79554611899837,0.04787273811622701,0.10631631639856702,-0.008928586104745168,0.11999999999999901,0.11999999999999847,0.11999999999999929,-0.032799923758273564,42.16552542653,2.3936369058113507,5.315815819928352,-0.4464293052372585,5.999999999999951,5.9999999999999245,5.999999999999965,-1.6399961879136784
1,0.02,0,0.0025441120014875196,217.6036355828024,0.042623285795085425,0.012651254998817169,0.07691517049279134,0.42336979449246137,0.08174502628916425,0.7224506369664895,0.036919919445432964,0.036919919445432964,-0.4087525173302203,0.4087525173302203,0.03747267324869802,0.03747267324869802,-0.39147896097818685,0.39147896097818685,0.035699046352553575,0.035699046352553575,-0.4469048014827007,0.4469048014827007,0.05138624057345933,0.05138624057345933,0.043320017920603957,0.043320017920603957,0.7266977967878122,0.016005425304509636,0.7768352033474323,17.924198288858893,2.672899729206461,52.193492285328624,13.957459696467325,1940.9765869396604,9.628074871127106,0.04085440852703026,0.30452358573827343,-0.017892303303393704,0.2399999999999968,0.2399999999999947,0.23999999999999777,-0.0586994384156647,41.62643760643693,-0.35091647945983895,9.91036346698532,-0.4481858599324268,5.999999999999889,5.999999999999809,5.999999999999923,-1.2949757328695568
2,0.04,0,0.0025865099996735808,198.26733797944001,0.04469969528592742,0.019006134262486638,0.07150278283801542,0.8276625033929935,0.057039601463010334,1.4216683381194015,0.010759758336298858,0.010759758336298858,-0.8041717013271074,0.8041717013271074,0.012418019746094057,0.012418019746094057,-0.7696245886230405,0.7696245886230405,0.007097139057660733,0.007097139057660733,-0.880476269632068,0.880476269632068,0.054158721720377986,0.054158721720377986,0.0829955998680664,0.0829955998680664,0.7992251034619047,0.036123313960366846,0.6713527512444839,68.50252195227569,1.3014064540236199,202.11408636111807,55.50942127493344,1837.3519058420475,10.444021903343488,0.02760541594574059,0.4637946791114741,-0.025414702780859718,0.35999999999999677,0.35999999999999466,0.3599999999999977,-0.07798154077736008,40.79735161081904,-0.6624496290644823,7.963554668660033,-0.376119973873301,5.999999999999998,5.9999999999999964,5.999999999999999,-0.9641051180847691
3,0.06,0,0.0024140169989550486,178.3010443498334,0.04571786923795862,0.027998541718263225,0.07322034182512005,1.0138824924247014,0.06015173416299108,1.6887167953583058,-0.010579644361038143,0.010579644361038143,-0.957442409705464,0.957442409705464,-0.00788997330381936,0.00788997330381936,-0.9087786519135039,0.9087786519135039,-0.016228330602339372,0.016228330602339372,-1.048703321110507,1.048703321110507,0.056397622779114503,0.056397622779114503,0.09701109802846208,0.09701109802846208,0.836049427063633,0.0783918338349326,0.7039930763471876,102.79577084453244,1.4472924491260588,285.17644149252254,96.82819187817859,1708.4787290325482,11.235143193380676,0.0069406205722094775,0.5849103719720994,-0.03155043792302796,0.47999999883397537,0.47578099597154844,0.47999999988935177,-0.09138546820473961,39.55606450185932,-1.0332397686765553,6.055784643031263,-0.30678675710841197,5.999999941698932,5.789049798577695,5.999999994467699,-0.6701963713689764
4,0.08,0,0.0023184199999377597,158.4111867770234,0.04720316372367062,0.03887420739580603,0.08146228567218484,0.9917575920665107,0.07667019940206389,1.5260067562823612,-0.0274475004262094,0.0274475004262094,-0.8698815148932737,0.8698815148932737,-0.023302325924906227,0.023302325924906227,-0.81025802327756,0.81025802327756,-0.03455886258570959,0.03455886258570959,-0.9529028283460007,0.9529028283460007,0.05820344336872999,0.05820344336872999,0.08637653449247633,0.08637653449247633,0.8912554662094615,0.151120400065214,0.8714010253834222,98.35831214215632,2.351327790540895,232.8696620219413,136.36261479862324,1547.7507258315748,11.993500507457043,-0.01948239406424193,0.6700328251243287,-0.036354847110777896,0.5980090595753458,0.5631323907690937,0.5999999994255913,-0.09981042873276934,37.917865703818386,-1.3211507318225706,4.256122657611467,-0.24022045938749617,5.900453037068522,4.367569739877268,5.999999976811743,-0.4212480264014865
5,0.1,0,0.0023171200009528548,140.84201534461377,0.04829323161533697,0.046256596359104556,0.09281626003168748,0.9644743730665328,0.0975882237358452,1.3474964196315875,-0.04318622735757448,0.04318622735757448,-0.7729561940560916,0.7729561940560916,-0.03749787154159692,0.03749787154159692,-0.7028417467124493,0.7028417467124493,-0.0516943486516551,0.0516943486516551,-0.8477379094392387,0.8477379094392387,0.05983322760697679,0.05983322760697679,0.07509486645604843,0.07509486645604843,0.9328944879410326,0.21396727067291244,1.131235468814527,93.02108163020814,3.8093845647669515,181.5746600919947,206.4391356228546,1358.2438194698493,12.710861313948156,-0.05000125181011604,0.7219830055235132,-0.039897805052808974,0.6877172663265998,0.6265562772208092,0.7138428441872507,-0.1040390917797112,35.86804032455569,-1.5259428872937053,2.597509019959234,-0.17714789710155407,4.485410337562692,3.1711943225857695,5.692142238083203,-0.2114331523470933
6,0.12,0,0.0024992139988171402,124.74749674299566,0.04828324258858761,0.06947675372479509,0.10054538825508719,0.7629648578700643,0.11878121199596675,1.1938859912129658,-0.057495158197631985,0.057495158197631985,-0.6838253519879733,0.6838253519879733,-0.05030245987196745,0.05030245987196745,-0.6143448297742145,0.6143448297742145,-0.0675474323294861,0.0675474323294861,-0.7599020559111884,0.7599020559111884,0.06091215004892429,0.06091215004892429,0.05362782435201426,0.05362782435201426,0.9325086059473601,0.4827019308135827,1.3274836929793061,58.21153743446873,5.643590529292317,142.53637600145657,214.6799502163344,1171.0365355020933,13.384168252018025,-0.08299680738497224,0.7445211510954597,-0.04228091429354059,0.7534782413486035,0.6699447256832698,0.7990604064281766,-0.10500409672020476,33.66534690349347,-1.6497777787428094,1.1269072785973189,-0.11915546203658092,3.2880487511001855,2.1694224231230255,4.260878112046293,-0.0482502470246786
7,0.14,0,0.002451514999847859,111.35217715921297,0.0477399916523713,0.09230549569565032,0.10752934419346982,0.5728020939887343,0.13753693393351424,1.0331905567513253,-0.06959014980592805,0.06959014980592805,-0.5906366324513666,0.5906366324513666,-0.06086751738711889,0.06086751738711889,-0.5242857266265704,0.5242857266265704,-0.08123067099514845,0.08123067099514845,-0.665351277971925,0.665351277971925,0.06140311606610107,0.06140311606610107,0.03260749489608249,0.03260749489608249,0.9116427211873923,0.8520304535619718,1.5183044961665295,32.81022388778787,7.566563278332743,106.74827265601135,234.5121354802547,999.7127444046367,14.01048900346341,-0.11632520240994652,0.7426054267273903,-0.043597571179547455,0.7990509436443975,0.6965820878929745,0.8599062385959432,-0.10339381153762975,31.31603757226937,-1.6664197512487144,-0.09578621840347412,-0.06583284430034375,2.2786351147896973,1.3318681104852348,3.042291608388333,0.08051425912875107
8,0.16,0,0.0024932140004239045,99.89026616727114,0.04658680990788826,0.12094895005740422,0.11054900092193991,0.403616677024753,0.15523617297738432,0.8786400164222332,-0.0806570015774975,0.0806570015774975,-0.5009917348464132,0.5009917348464132,-0.07053932156202751,0.07053932156202751,-0.4398498337868594,0.4398498337868594,-0.09382072392082176,0.09382072392082176,-0.5721709275573778,0.5721709275573778,0.06176239449482006,0.06176239449482006,0.012965857081028598,0.012965857081028598,0.868132342957486,1.4628648519988456,1.6047763963185324,16.290642197250378,9.639307760265753,77.2008278458462,230.57587816782146,845.5176655851791,14.588395854972665,-0.1487909206703178,0.7198644088550069,-0.04395608173899001,0.8279630701961368,0.7095933867661646,0.9004252485670934,-0.09986722711006507,28.895342575462674,-1.6232859130185657,-1.1370508936191617,-0.017925527972127382,1.4456063275869682,0.6505649436595106,2.0259504985575134,0.1763292213782344
9,0.18,0,0.0024376160035899375,90.2207313093877,0.04414317290942025,0.15599013675808104,0.10938035631644655,0.2859936742702208,0.16946881096851432,0.7344365430142933,-0.08949044265579695,0.08949044265579695,-0.4172389337725526,0.4172389337725526,-0.07803561728101542,0.07803561728101542,-0.3628053219706468,0.3628053219706468,-0.10411530229976837,0.10411530229976837,-0.4833787785370209,0.4833787785370209,0.061494591851237526,0.061494591851237526,-0.005095357589241824,0.005095357589241824,0.7794478858043894,2.4332922765804823,1.5710266472986685,8.179238172258115,11.487871156432814,53.93970357147858,202.36836026468188,710.7681101489902,15.11848833508107,-0.17923126567343145,0.6802131579488415,-0.04346442171193474,0.8431135330833208,0.7114508954818733,0.9239464224402215,-0.09497886588086359,26.504624005420244,-1.5220172501556812,-1.9825625453082685,0.024583001352763357,0.7575231443592002,0.09287543578544868,1.1760586936564053,0.24441806146007355
