cycle,status,solve_time_s,position_error_m,attitude_error_rad,joint_error_rad,cost,max_abs_command,max_abs_command_rate,T_cmd,p_cmd,q_cmd,r_cmd,cmd_00,cmd_01,cmd_02,cmd_03,cmd_04,cmd_05,cmd_06,cmd_07,cmd_rate_00,cmd_rate_01,cmd_rate_02,cmd_rate_03,cmd_rate_04,cmd_rate_05,cmd_rate_06,cmd_rate_07
0,0,0.0032833709992701188,0.04123105625617661,0.08726646259971647,0.1,3.503700880340576,16.84153496110637,0.9550161388280718,16.84153496110637,-0.013871611947267413,-1.7025257700579577e-06,1.1762833508443497e-24,16.84153496110637,-0.013871611947267413,-1.7025257700579577e-06,1.1762833508443497e-24,-0.019100322776561433,-0.019100322776561433,-0.019100322776561433,-0.019100322776064906,-0.11175194468133924,-0.6935805973633707,-8.51262885028979e-05,5.881416754216031e-23,-0.9550161388280718,-0.9550161388280718,-0.9550161388280718,-0.9550161388032455
1,0,0.0024499319988535717,0.04123105625617661,0.08726646259971647,0.1,7.787778560074782,16.837316721616745,3.009046049489827,16.837316721616745,-0.07405253293706394,-0.0019282837889041879,2.4235724681026558e-06,16.837316721616745,-0.07405253293706394,-0.0019282837889041879,2.4235724681026558e-06,-0.03453853087816287,-0.03453853087816287,-0.03453853087816287,-0.034538530864365806,-0.21091197448127066,-3.009046049489827,-0.09632906315670652,0.0001211786234051328,-0.7719104050800717,-0.7719104050800717,-0.7719104050800717,-0.7719104044150447
2,0,0.002640495000377996,0.041390818686840955,0.08726646259971647,0.1,8.161719199309687,16.833650329302653,2.5608287243643018,16.833650329302653,-0.12526910742435,-0.0034695190868853126,5.42340344338903e-06,16.833650329302653,-0.12526910742435,-0.0034695190868853126,5.42340344338903e-06,-0.04677088301780357,-0.04677088301780357,-0.04677088301780357,-0.0467708830064944,-0.18331961570467548,-2.5608287243643018,-0.07706176489905624,0.0001499915487643187,-0.6116176069820354,-0.6116176069820354,-0.6116176069820354,-0.61161760710643
3,0,0.002693684000405483,0.041716664813972744,0.08722022389322576,0.09991510967654918,8.562833205226113,16.83039662530819,2.1547580900170913,16.83039662530819,-0.1683642692246918,-0.00467145749636967,8.172811447661567e-06,16.83039662530819,-0.1683642692246918,-0.00467145749636967,8.172811447661567e-06,-0.05622440768591005,-0.05622440768591005,-0.05622440768591005,-0.056224407676801445,-0.16268519972291218,-2.1547580900170913,-0.060096920474217885,0.00013747040021362688,-0.4726762334053234,-0.4726762334053234,-0.4726762334053234,-0.4726762335153523
4,0,0.0026538929996604566,0.04222089644560991,0.08693485009974888,0.09968614702959416,8.977532951103477,16.827548247464133,1.7907951304479002,16.827548247464133,-0.20418017183364984,-0.005577748514415477,1.062045033648904e-05,16.827548247464133,-0.20418017183364984,-0.005577748514415477,1.062045033648904e-05,-0.0632932707407674,-0.0632932707407674,-0.0632932707407674,-0.06329327073358612,-0.14241889220294582,-1.7907951304479002,-0.045314550902290265,0.00012238194444137365,-0.35344315274286825,-0.35344315274286825,-0.35344315274286825,-0.35344315283923333
5,0,0.0026419940004416276,0.04292127079872475,0.08627947764924876,0.09927475408556757,9.394698649372394,16.825101367549756,1.467721520832411,16.825101367549756,-0.23353460225029807,-0.0062292050105827,1.2730633922296058e-05,16.825101367549756,-0.23353460225029807,-0.0062292050105827,1.2730633922296058e-05,-0.06833685470582151,-0.06833685470582151,-0.06833685470582151,-0.06833685470031191,-0.12234399571861244,-1.467721520832411,-0.0325728248083612,0.0001055091792903509,-0.25217919825270546,-0.25217919825270546,-0.25217919825270546,-0.25217919833628966
6,0,0.0024927230006142054,0.04383944436183456,0.0851721306744636,0.09865918521228337,9.805234248497129,16.823053961853017,1.1831779949782577,16.823053961853017,-0.25719816214986324,-0.006663223374178892,1.4487111635292238e-05,16.823053961853017,-0.25719816214986324,-0.006663223374178892,1.4487111635292238e-05,-0.07167918036030549,-0.07167918036030549,-0.07167918036030549,-0.07167918035623151,-0.10237028483685782,-1.1831779949782577,-0.02170091817980962,8.782388564980908e-05,-0.16711628272419865,-0.16711628272419865,-0.16711628272419865,-0.16711628279597962
7,0,0.0026829859998542815,0.04499913443245896,0.08356876901407821,0.09783070945496863,10.201795612233902,16.821404336995798,0.9341775821249199,16.821404336995798,-0.2758817137923617,-0.0069135170546436985,1.5890697803783542e-05,16.821404336995798,-0.2758817137923617,-0.0069135170546436985,1.5890697803783542e-05,-0.07360935766001878,-0.07360935766001878,-0.07360935766001878,-0.07360935765716456,-0.08248124286099671,-0.9341775821249199,-0.012514684023240333,7.01793084245651e-05,-0.09650886498566316,-0.09650886498566316,-0.09650886498566316,-0.09650886504665306
8,0,0.0026934849993267562,0.04642408212416368,0.08145424194060963,0.09679056720533578,10.57861823857018,16.820149945917798,0.7174054827033038,16.820149945917798,-0.2902298234464278,-0.00701006229250689,1.6956103728507512e-05,16.820149945917798,-0.2902298234464278,-0.00701006229250689,1.6956103728507512e-05,-0.07438280355993385,-0.07438280355993385,-0.07438280355993385,-0.07438280355810463,-0.0627195539000989,-0.7174054827033038,-0.0048272618931595665,5.327029623619857e-05,-0.038672294995755654,-0.038672294995755654,-0.038672294995755654,-0.038672295047003244
9,0,0.002655093001521891,0.04813600630257936,0.07883490629436445,0.09554742218184309,10.93137223702407,16.8192864824523,0.5294407297249095,16.8192864824523,-0.3008186380409259,-0.006979194315042585,1.7708468027116266e-05,16.8192864824523,-0.3008186380409259,-0.006979194315042585,1.7708468027116266e-05,-0.07422300909664381,-0.07422300909664381,-0.07422300909664381,-0.07422300909566532,-0.04317317327489844,-0.5294407297249095,0.0015433988732152237,3.761821493043752e-05,0.007989723164502943,0.007989723164502943,0.007989723164502943,0.007989723121965275
