label,t,mission_state,arm_ready_state,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,uav_pos_error,uav_xy_error,uav_z_error,uav_yaw_deg,target_yaw_deg,uav_yaw_error_deg,arm_pos_error,arm_axis_error_deg,arm_centerline_error
projection_baseline,0.0000,-1,0,-1.735558,-0.268196,1.717749,-1.274294,-1.409015,0.614310,0.600000,-0.350000,0.225000,2.773053,2.336990,1.492749,23.093155,23.056724,-0.036431,nan,nan,nan
projection_baseline,0.0490,-1,0,-1.700008,-0.310901,1.716622,-1.321658,-1.335803,0.741557,0.600000,-0.350000,0.225000,2.741624,2.300340,1.491622,23.156140,23.056724,-0.099416,nan,nan,nan
projection_baseline,0.1000,-1,0,-1.688992,-0.343451,1.719020,-1.337076,-1.346954,0.709845,0.600000,-0.350000,0.225000,2.733427,2.289002,1.494020,23.204016,23.056724,-0.147292,nan,nan,nan
projection_baseline,0.1500,-1,0,-1.690954,-0.399138,1.715672,-1.295441,-1.343559,0.533315,0.600000,-0.350000,0.225000,2.733677,2.291481,1.490672,23.250311,23.056724,-0.193587,nan,nan,nan
projection_baseline,0.1990,-1,0,-1.674354,-0.423955,1.706687,-1.294721,-1.324949,0.652982,0.600000,-0.350000,0.225000,2.715428,2.275556,1.481687,23.287859,23.056724,-0.231135,nan,nan,nan
projection_baseline,0.2490,-1,0,-1.644692,-0.451927,1.703930,-1.255004,-1.317276,0.724276,0.600000,-0.350000,0.225000,2.690031,2.247005,1.478930,23.386424,23.056724,-0.329700,nan,nan,nan
projection_baseline,0.3000,-1,0,-1.635089,-0.472629,1.699405,-1.263547,-1.260300,0.563809,0.600000,-0.350000,0.225000,2.680397,2.238451,1.474405,23.441301,23.056724,-0.384577,nan,nan,nan
projection_baseline,0.3510,-1,0,-1.639455,-0.511341,1.700979,-1.253190,-1.315787,0.842475,0.600000,-0.350000,0.225000,2.686951,2.245259,1.475979,23.514740,23.056724,-0.458016,nan,nan,nan
projection_baseline,0.3990,-1,0,-1.626753,-0.523788,1.702591,-1.338423,-1.183911,0.810590,0.600000,-0.350000,0.225000,2.678042,2.233524,1.477591,23.558556,23.056724,-0.501832,nan,nan,nan
projection_baseline,0.4490,-1,0,-1.601402,-0.529807,1.702519,-1.285324,-1.100759,0.660879,0.600000,-0.350000,0.225000,2.657360,2.208733,1.477519,23.682758,23.056724,-0.626034,nan,nan,nan
projection_baseline,0.4990,-1,0,-1.594738,-0.536373,1.695191,-1.258725,-1.054067,0.451367,0.600000,-0.350000,0.225000,2.648221,2.202637,1.470191,23.735605,23.056724,-0.678881,nan,nan,nan
projection_baseline,0.5490,-1,0,-1.598762,-0.558046,1.673554,-1.222095,-1.151058,0.153967,0.600000,-0.350000,0.225000,2.641239,2.208582,1.448554,23.801657,23.056724,-0.744933,nan,nan,nan
projection_baseline,0.5990,-1,0,-1.582669,-0.566544,1.647667,-1.137458,-1.192551,0.198580,0.600000,-0.350000,0.225000,2.614368,2.193385,1.422667,23.838014,23.056724,-0.781291,nan,nan,nan
