t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z,path_progress,path_progress_scale
3.1070,-0.274243,-0.002131,-0.229160,-0.281891,-0.026621,-0.229450,0.025658,4.996639,0.025650,-0.274243,0.093869,-0.094160,0.000000,0.078540,0.000000,-0.000000,0.078540,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
3.1440,-0.274243,-0.002131,-0.229160,-0.281935,-0.026788,-0.229453,0.025831,5.030407,0.025823,-0.274243,0.093869,-0.094160,0.000000,0.078540,0.000000,-0.000000,0.078540,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
3.1940,-0.274251,0.000775,-0.229160,-0.279770,-0.022198,-0.229138,0.023627,4.053223,0.023526,-0.274251,0.096775,-0.094160,-0.000465,0.081444,0.000000,-0.000456,0.078538,0.000000,0.000000,0.000000,0.000000,0.037000,1.000000
3.2440,-0.274289,0.004702,-0.229160,-0.277351,-0.017176,-0.228961,0.022092,3.074983,0.021698,-0.274289,0.100702,-0.094160,-0.001120,0.085365,0.000000,-0.001073,0.078532,0.000000,0.000000,0.000000,0.000000,0.087000,1.000000
3.2940,-0.274359,0.008628,-0.229160,-0.273713,-0.010214,-0.229037,0.018854,1.848678,0.017653,-0.274359,0.104628,-0.094160,-0.001806,0.089281,0.000000,-0.001690,0.078522,0.000000,0.000000,0.000000,0.000000,0.137000,1.000000
3.3440,-0.274458,0.012554,-0.229160,-0.271519,-0.005935,-0.229105,0.018721,1.234428,0.016614,-0.274458,0.108554,-0.094160,-0.002522,0.093191,0.000000,-0.002307,0.078506,0.000000,0.000000,0.000000,0.000000,0.187000,1.000000
3.3940,-0.274589,0.016479,-0.229160,-0.268411,-0.000174,-0.229309,0.017762,1.196742,0.013932,-0.274589,0.112479,-0.094160,-0.003270,0.097095,0.000000,-0.002923,0.078485,0.000000,0.000000,0.000000,0.000000,0.237000,1.000000
3.4440,-0.274751,0.020402,-0.229160,-0.267115,0.001866,-0.229261,0.020048,1.468401,0.015276,-0.274751,0.116402,-0.094160,-0.004048,0.100993,0.000000,-0.003540,0.078460,0.000000,0.000000,0.000000,0.000000,0.287000,1.000000
3.4940,-0.274943,0.024325,-0.229160,-0.265848,0.003166,-0.229366,0.023031,1.657608,0.017343,-0.274943,0.120325,-0.094160,-0.004856,0.104885,0.000000,-0.004156,0.078430,0.000000,0.000000,0.000000,0.000000,0.337000,1.000000
3.5440,-0.275166,0.028245,-0.229160,-0.265190,0.003761,-0.229396,0.026440,1.761939,0.020227,-0.275166,0.124245,-0.094160,-0.005695,0.108771,0.000000,-0.004771,0.078395,0.000000,0.000000,0.000000,0.000000,0.387000,1.000000
3.5940,-0.275420,0.032164,-0.229160,-0.264911,0.002099,-0.230503,0.031877,2.140658,0.025525,-0.275420,0.128164,-0.094160,-0.006565,0.112650,0.000000,-0.005387,0.078355,0.000000,0.000000,0.000000,0.000000,0.437000,1.000000
3.6450,-0.275705,0.036081,-0.229160,-0.265195,0.000032,-0.230064,0.037561,3.202725,0.031087,-0.275705,0.132081,-0.094160,-0.007465,0.116522,0.000000,-0.006002,0.078310,0.000000,0.000000,0.000000,0.000000,0.487000,1.000000
3.6950,-0.276027,0.040073,-0.229160,-0.265113,-0.002467,-0.229492,0.043920,5.125089,0.037022,-0.276027,0.136073,-0.094160,-0.008414,0.120464,0.000000,-0.006629,0.078260,0.000000,0.000000,0.000000,0.000000,0.538000,1.000000
3.7440,-0.276374,0.043985,-0.229160,-0.264620,-0.003027,-0.228663,0.048461,6.608274,0.040906,-0.276374,0.139985,-0.094160,-0.009375,0.124321,0.000000,-0.007244,0.078205,0.000000,0.000000,0.000000,0.000000,0.588000,1.000000
3.7940,-0.276744,0.047815,-0.229160,-0.263595,-0.003022,-0.229305,0.052511,7.477006,0.044180,-0.276744,0.143815,-0.094160,-0.010346,0.128093,0.000000,-0.007846,0.078147,0.000000,0.000000,0.000000,0.000000,0.637000,1.000000
