t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z,path_progress,path_progress_scale
3.1360,-0.259715,-0.048875,-0.209450,-0.263917,-0.126550,-0.228806,0.080160,9.214870,0.079593,-0.285346,0.105896,-0.079894,0.000000,0.078540,0.000000,-0.000000,0.078540,0.000000,0.026053,-0.057957,0.006812,0.000000,0.802710
3.2050,-0.259715,-0.048875,-0.209450,-0.263595,-0.126723,-0.227434,0.079993,9.400268,0.079330,-0.285768,0.105081,-0.081261,-0.000422,0.062230,-0.000479,-0.000000,0.063045,0.000000,0.026546,-0.057928,0.007614,0.000000,0.804465
3.2550,-0.259734,-0.044516,-0.209450,-0.262354,-0.124377,-0.228023,0.082035,8.839801,0.081189,-0.286532,0.109525,-0.082356,-0.001737,0.066810,-0.000862,-0.000551,0.063180,0.000000,0.027651,-0.058703,0.008545,0.055508,0.792072
3.3050,-0.259771,-0.041406,-0.209450,-0.261744,-0.123378,-0.226254,0.083700,8.631555,0.082619,-0.287421,0.113298,-0.082995,-0.003005,0.069604,-0.001085,-0.000929,0.062202,0.000000,0.028452,-0.059224,0.009250,0.095112,0.782541
3.3550,-0.259826,-0.038333,-0.209450,-0.260529,-0.120885,-0.224059,0.083838,8.781897,0.082412,-0.288532,0.116839,-0.084089,-0.004482,0.072391,-0.001468,-0.001296,0.061447,0.000000,0.029351,-0.059537,0.010583,0.134239,0.783921
3.4050,-0.259900,-0.035256,-0.209450,-0.259560,-0.119452,-0.222637,0.085223,9.205915,0.083469,-0.289251,0.120282,-0.085032,-0.005583,0.075932,-0.001798,-0.001677,0.061546,0.000000,0.030276,-0.060337,0.011356,0.173435,0.776870
3.4550,-0.259993,-0.032206,-0.209450,-0.257876,-0.119237,-0.220936,0.087811,9.760860,0.085490,-0.290698,0.124590,-0.086120,-0.007386,0.079676,-0.002179,-0.002034,0.060981,0.000000,0.031394,-0.061598,0.012167,0.212278,0.763403
3.5050,-0.260102,-0.029210,-0.209450,-0.256058,-0.119653,-0.220644,0.091222,10.120902,0.088336,-0.291994,0.128989,-0.086964,-0.009006,0.083004,-0.002474,-0.002358,0.059911,0.000000,0.032726,-0.063326,0.012954,0.250448,0.744429
3.5550,-0.260225,-0.026290,-0.209450,-0.254677,-0.121845,-0.220271,0.096326,10.163820,0.092880,-0.293347,0.133584,-0.087851,-0.010642,0.086096,-0.002785,-0.002641,0.058408,0.000000,0.033122,-0.063874,0.013402,0.287670,0.714135
3.6060,-0.260360,-0.023488,-0.209450,-0.253944,-0.124988,-0.219926,0.102241,10.485955,0.098356,-0.294309,0.137856,-0.088179,-0.011811,0.087976,-0.002900,-0.002848,0.056016,0.000000,0.035700,-0.068843,0.014279,0.323377,0.677629
3.6560,-0.260505,-0.020778,-0.209450,-0.252255,-0.129672,-0.219312,0.109651,10.728993,0.104990,-0.296205,0.144065,-0.088728,-0.013850,0.091306,-0.003092,-0.002991,0.053137,0.000000,0.036627,-0.070797,0.014711,0.357936,0.633399
3.7050,-0.260651,-0.018295,-0.209450,-0.250752,-0.135035,-0.218425,0.117502,11.119039,0.112053,-0.297975,0.149956,-0.089467,-0.015672,0.093714,-0.003351,-0.003043,0.049654,0.000000,0.038703,-0.075417,0.015788,0.389606,0.586311
