t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z,path_progress,path_progress_scale
3.0900,-0.278461,-0.017962,-0.234532,-0.240136,-0.102940,-0.265868,0.098346,8.985665,0.083911,-0.325601,0.131094,-0.067239,0.000000,0.015708,0.000000,-0.000000,0.015708,0.000000,0.047591,-0.053226,-0.034899,0.000000,0.560490
3.1520,-0.278461,-0.017962,-0.234532,-0.239846,-0.104069,-0.268470,0.100286,9.169346,0.086271,-0.326053,0.131264,-0.064633,-0.000158,0.008864,0.000319,-0.000000,0.008804,0.000000,0.047830,-0.053375,-0.035492,0.000000,0.537287
3.2020,-0.278462,-0.016916,-0.234532,-0.238525,-0.102651,-0.271685,0.101616,8.763768,0.087730,-0.326692,0.132713,-0.063139,-0.000400,0.009006,0.000502,-0.000018,0.008440,0.000000,0.048436,-0.053804,-0.037649,0.033312,0.522700
3.2520,-0.278465,-0.016095,-0.234532,-0.238413,-0.100178,-0.272114,0.100432,8.485211,0.086663,-0.326766,0.133608,-0.061409,-0.000439,0.009091,0.000714,-0.000031,0.008210,0.000000,0.048191,-0.053641,-0.038775,0.059447,0.533367
3.3020,-0.278469,-0.015257,-0.234532,-0.238067,-0.098197,-0.272920,0.099925,8.554792,0.086232,-0.326676,0.134434,-0.060357,-0.000422,0.009547,0.000843,-0.000045,0.008378,0.000000,0.048365,-0.053858,-0.039668,0.086115,0.537681
3.3520,-0.278474,-0.014412,-0.234532,-0.236886,-0.096295,-0.273160,0.099631,9.204526,0.085484,-0.327265,0.135736,-0.059169,-0.000642,0.010070,0.000988,-0.000060,0.008446,0.000000,0.049149,-0.054372,-0.040749,0.112999,0.545157
3.4020,-0.278481,-0.013556,-0.234532,-0.235469,-0.095865,-0.273025,0.100531,9.895411,0.085652,-0.327937,0.137041,-0.058592,-0.000893,0.010644,0.001059,-0.000075,0.008563,0.000000,0.049742,-0.054772,-0.041233,0.140257,0.540625
3.4520,-0.278489,-0.012707,-0.234532,-0.235136,-0.094903,-0.274399,0.101119,10.059429,0.086418,-0.327980,0.137643,-0.058122,-0.000922,0.010784,0.001117,-0.000089,0.008492,0.000000,0.049274,-0.053735,-0.041727,0.167288,0.535285
3.5030,-0.278499,-0.011866,-0.234532,-0.235395,-0.095320,-0.274990,0.102271,10.199001,0.087775,-0.327772,0.137869,-0.057805,-0.000863,0.010779,0.001156,-0.000103,0.008408,0.000000,0.049140,-0.052269,-0.042954,0.194053,0.522251
3.5540,-0.278509,-0.011029,-0.234532,-0.235724,-0.095292,-0.275913,0.103166,10.567349,0.089001,-0.327649,0.137240,-0.056578,-0.000831,0.010354,0.001306,-0.000114,0.008203,0.000000,0.049328,-0.051175,-0.043793,0.220687,0.509993
3.6020,-0.278521,-0.010212,-0.234532,-0.235652,-0.095044,-0.276519,0.103909,10.778199,0.089820,-0.327849,0.136963,-0.055739,-0.000911,0.010064,0.001409,-0.000124,0.008010,0.000000,0.049370,-0.049723,-0.044607,0.246697,0.501799
3.6520,-0.278534,-0.009456,-0.234532,-0.236053,-0.093964,-0.277820,0.104019,11.014266,0.090426,-0.327515,0.135307,-0.054549,-0.000804,0.009356,0.001554,-0.000134,0.007881,0.000000,0.048473,-0.047286,-0.045577,0.270783,0.495743
