t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z,path_progress,path_progress_scale,uav_ref_x,uav_ref_y,uav_ref_z,uav_ref_error
3.1100,0.335296,0.061803,-0.597717,0.261747,0.078913,-0.350226,0.258756,14.199257,0.248965,-0.005696,0.270275,-0.190520,0.000248,0.015635,-0.000157,-0.000000,0.015708,0.000000,0.339777,-0.111338,-0.267505,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.001193
3.1750,0.335296,0.061803,-0.597717,0.261248,0.080188,-0.345281,0.263714,14.393759,0.253606,-0.004480,0.269141,-0.195212,0.000795,-0.000583,-0.000861,-0.000000,0.000000,0.000000,0.338859,-0.111249,-0.263779,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.006142
3.2270,0.335296,0.061803,-0.597717,0.257984,0.083057,-0.355816,0.254843,12.237375,0.243449,-0.003563,0.269052,-0.198938,0.001208,-0.000623,-0.001420,-0.000000,0.000000,0.000000,0.338859,-0.111249,-0.263779,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.009935
3.2750,0.335296,0.061803,-0.597717,0.255124,0.083636,-0.354960,0.256585,12.412097,0.244692,-0.002083,0.268816,-0.203528,0.001874,-0.000729,-0.002108,-0.000000,0.000000,0.000000,0.335893,-0.110623,-0.256458,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.014747
3.3250,0.335296,0.061803,-0.597717,0.251230,0.084021,-0.356149,0.256742,12.321888,0.244232,-0.000596,0.268426,-0.206260,0.002543,-0.000905,-0.002518,-0.000000,0.000000,0.000000,0.335149,-0.109914,-0.253129,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.017825
3.3760,0.335296,0.061803,-0.597717,0.243723,0.083520,-0.359221,0.256394,11.556181,0.243011,0.000147,0.267717,-0.209589,0.002878,-0.001224,-0.003017,-0.000000,0.000000,0.000000,0.333682,-0.109498,-0.247453,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.021281
3.4250,0.335296,0.061803,-0.597717,0.238260,0.083642,-0.360650,0.257087,10.730305,0.242927,0.001614,0.267300,-0.215264,0.003538,-0.001411,-0.003869,-0.000000,0.000000,0.000000,0.332304,-0.109700,-0.244307,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.027144
3.4750,0.335296,0.061803,-0.597717,0.237838,0.084502,-0.362988,0.255169,10.610766,0.240637,0.003879,0.267501,-0.220123,0.004557,-0.001321,-0.004597,-0.000000,0.000000,0.000000,0.330866,-0.109741,-0.241478,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.032412
3.5250,0.335296,0.061803,-0.597717,0.233306,0.083222,-0.361145,0.258510,11.074178,0.243816,0.005037,0.267526,-0.222321,0.005078,-0.001310,-0.004927,-0.000000,0.000000,0.000000,0.329431,-0.109318,-0.237564,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.034853
3.5750,0.335296,0.061803,-0.597717,0.232585,0.082856,-0.357593,0.262017,11.996325,0.247420,0.006006,0.266820,-0.226988,0.005514,-0.001627,-0.005627,-0.000000,0.000000,0.000000,0.329127,-0.108697,-0.232633,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.039630
3.6250,0.335296,0.061803,-0.597717,0.234504,0.083009,-0.353492,0.265056,13.295875,0.250751,0.006169,0.266500,-0.230084,0.005588,-0.001771,-0.006091,-0.000000,0.000000,0.000000,0.328804,-0.108722,-0.229457,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.042648
3.6750,0.335296,0.061803,-0.597717,0.234948,0.082745,-0.348464,0.269510,14.028934,0.255445,0.007001,0.266661,-0.234511,0.005962,-0.001699,-0.006755,-0.000000,0.000000,0.000000,0.327103,-0.108858,-0.226453,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.047097
3.7270,0.335296,0.061803,-0.597717,0.232550,0.082084,-0.345957,0.272674,14.530682,0.258548,0.008847,0.266576,-0.237430,0.006793,-0.001737,-0.007193,-0.000000,0.000000,0.000000,0.325964,-0.107936,-0.222192,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.050424
3.7750,0.335296,0.061803,-0.597717,0.231063,0.082882,-0.341437,0.277468,14.706100,0.263005,0.009373,0.265144,-0.242587,0.007030,-0.002382,-0.007967,-0.000000,0.000000,0.000000,0.325876,-0.107023,-0.218753,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.055614
3.8250,0.335296,0.061803,-0.597717,0.229568,0.082658,-0.338701,0.280540,14.978992,0.266007,0.009559,0.264443,-0.246255,0.007113,-0.002697,-0.008517,-0.000000,0.000000,0.000000,0.325491,-0.106230,-0.212622,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.059244
3.8750,0.335296,0.061803,-0.597717,0.228416,0.082543,-0.333887,0.285412,15.161833,0.270860,0.009943,0.263967,-0.251689,0.007286,-0.002911,-0.009332,-0.000000,0.000000,0.000000,0.325353,-0.106165,-0.211028,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.064612
3.9250,0.335296,0.061803,-0.597717,0.226979,0.081806,-0.330377,0.289143,15.311494,0.274690,0.010424,0.264051,-0.255879,0.007502,-0.002874,-0.009961,-0.000000,0.000000,0.000000,0.325035,-0.106526,-0.199547,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.068763
3.9760,0.335296,0.061803,-0.597717,0.225614,0.080525,-0.324248,0.295239,15.489310,0.281092,0.010261,0.264329,-0.263170,0.007429,-0.002748,-0.011054,-0.000000,0.000000,0.000000,0.325068,-0.106681,-0.197618,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.075769
4.0250,0.335296,0.061803,-0.597717,0.224391,0.079306,-0.320229,0.299343,15.549810,0.285456,0.010280,0.264828,-0.268111,0.007438,-0.002523,-0.011796,-0.000000,0.000000,0.000000,0.324633,-0.107949,-0.189736,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.080550
4.0770,0.335296,0.061803,-0.597717,0.221335,0.076589,-0.315200,0.304995,15.465355,0.291566,0.010907,0.266301,-0.274973,0.007720,-0.001861,-0.012825,-0.000000,0.000000,0.000000,0.323572,-0.110095,-0.182579,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.087301
4.1250,0.335296,0.061803,-0.597717,0.217692,0.072842,-0.308905,0.312034,15.352508,0.299265,0.011725,0.267897,-0.280138,0.008088,-0.001142,-0.013600,-0.000000,0.000000,0.000000,0.323166,-0.111334,-0.177387,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.092463
4.1750,0.335296,0.061803,-0.597717,0.215912,0.070918,-0.305071,0.316192,15.268871,0.303766,0.012263,0.269820,-0.288474,0.008330,-0.000277,-0.014850,-0.000000,0.000000,0.000000,0.322151,-0.114191,-0.166701,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.100718
4.2480,0.335296,0.061803,-0.597717,0.211214,0.065820,-0.297245,0.325110,15.080315,0.313524,0.013722,0.273121,-0.299232,0.008987,0.001208,-0.016464,-0.000000,0.000000,0.000000,0.320355,-0.117483,-0.157935,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.111593
4.2940,0.335296,0.061803,-0.597717,0.208392,0.062733,-0.293250,0.329858,14.974689,0.318751,0.014941,0.275286,-0.304783,0.009535,0.002182,-0.017296,-0.000000,0.000000,0.000000,0.319784,-0.118439,-0.155774,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.117339
4.3250,0.335296,0.061803,-0.597717,0.207016,0.061306,-0.291872,0.331658,14.922355,0.320756,0.015513,0.276242,-0.306944,0.009792,0.002613,-0.017620,-0.000000,0.000000,0.000000,0.318983,-0.120134,-0.150364,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.119609
4.3750,0.335296,0.061803,-0.597717,0.203472,0.057309,-0.285696,0.338755,14.744918,0.328454,0.016665,0.278800,-0.315610,0.010311,0.003764,-0.018920,-0.000000,0.000000,0.000000,0.317724,-0.122816,-0.141820,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.128473
4.4250,0.335296,0.061803,-0.597717,0.201020,0.054527,-0.282145,0.343029,14.615547,0.333125,0.017573,0.280618,-0.320898,0.010719,0.004582,-0.019714,-0.000000,0.000000,0.000000,0.316491,-0.125097,-0.136309,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.133952
4.4750,0.335296,0.061803,-0.597717,0.196823,0.049698,-0.277169,0.349389,14.412249,0.340146,0.019399,0.283923,-0.328582,0.011541,0.006069,-0.020866,-0.000000,0.000000,0.000000,0.315897,-0.126120,-0.134135,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.142094
4.5250,0.335296,0.061803,-0.597717,0.193605,0.045857,-0.273265,0.354401,14.267036,0.345669,0.021087,0.286747,-0.334342,0.012301,0.007340,-0.021730,-0.000000,0.000000,0.000000,0.313099,-0.130972,-0.122556,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.148324
4.5770,0.335296,0.061803,-0.597717,0.189784,0.041313,-0.266675,0.362192,14.031244,0.354036,0.022689,0.289762,-0.343805,0.013022,0.008697,-0.023150,-0.000000,0.000000,0.000000,0.311467,-0.134039,-0.112780,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.158205
4.6270,0.335296,0.061803,-0.597717,0.186633,0.037197,-0.260020,0.369791,13.877425,0.362156,0.024388,0.292830,-0.352411,0.013786,0.010077,-0.024440,-0.000000,0.000000,0.000000,0.309953,-0.136683,-0.106507,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.167297
4.6760,0.335296,0.061803,-0.597717,0.182894,0.032654,-0.256843,0.374528,13.691791,0.367415,0.026048,0.295677,-0.358724,0.014533,0.011358,-0.025387,-0.000000,0.000000,0.000000,0.307253,-0.141120,-0.097599,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.174142
4.7250,0.335296,0.061803,-0.597717,0.179510,0.028273,-0.252739,0.380005,13.501213,0.373387,0.028043,0.298923,-0.365118,0.015431,0.012819,-0.026347,-0.000000,0.000000,0.000000,0.306046,-0.143546,-0.089449,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.181213
4.7750,0.335296,0.061803,-0.597717,0.175759,0.023409,-0.246526,0.387636,12.939506,0.381536,0.029496,0.301936,-0.375953,0.016085,0.014175,-0.027972,-0.000000,0.000000,0.000000,0.305296,-0.145089,-0.082944,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.192468
4.8260,0.335296,0.061803,-0.597717,0.172615,0.019916,-0.245472,0.390252,12.155115,0.384480,0.030386,0.303544,-0.382459,0.016485,0.014898,-0.028948,-0.000000,0.000000,0.000000,0.304489,-0.146373,-0.077669,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.199202
4.8750,0.335296,0.061803,-0.597717,0.164606,0.012214,-0.248855,0.391535,10.655809,0.386396,0.032233,0.305771,-0.391154,0.017316,0.015901,-0.030252,-0.000000,0.000000,0.000000,0.300902,-0.149951,-0.064666,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.208336
4.9250,0.335296,0.061803,-0.597717,0.158942,0.005172,-0.255206,0.389387,9.054263,0.384913,0.034394,0.307754,-0.398051,0.018289,0.016793,-0.031287,-0.000000,0.000000,0.000000,0.300240,-0.149545,-0.057553,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.215751
4.9800,0.335296,0.061803,-0.597717,0.157541,0.001888,-0.260759,0.385653,7.273890,0.381560,0.035056,0.307347,-0.405164,0.018587,0.016610,-0.032353,-0.000000,0.000000,0.000000,0.299800,-0.149462,-0.053998,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.222690
5.0250,0.335296,0.061803,-0.597717,0.158647,-0.003791,-0.274762,0.373909,4.063619,0.370659,0.036019,0.307472,-0.411379,0.019020,0.016666,-0.033286,-0.000000,0.000000,0.000000,0.298687,-0.149975,-0.048656,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.228911
5.0750,0.335296,0.061803,-0.597717,0.162515,-0.005338,-0.282510,0.365673,3.286995,0.362845,0.038148,0.308184,-0.420169,0.019978,0.016986,-0.034604,-0.000000,0.000000,0.000000,0.296625,-0.150147,-0.039795,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.237941
5.1260,0.335296,0.061803,-0.597717,0.173232,-0.005346,-0.296061,0.348956,6.758666,0.346723,0.038653,0.307536,-0.424430,0.020206,0.016695,-0.035243,-0.000000,0.000000,0.000000,0.300185,-0.145893,-0.038700,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.242068
5.1750,0.335296,0.061803,-0.597717,0.182895,-0.004314,-0.309819,0.332390,9.589964,0.330564,0.035112,0.303696,-0.424017,0.018612,0.014967,-0.035181,-0.000000,0.000000,0.000000,0.301195,-0.143790,-0.051269,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.240473
5.2270,0.335296,0.061803,-0.597717,0.190893,-0.003838,-0.338930,0.303532,11.042836,0.302143,0.034206,0.300851,-0.403416,0.018205,0.013687,-0.032091,-0.000000,0.000000,0.000000,0.300674,-0.142379,-0.073339,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.219847
5.2750,0.335296,0.061803,-0.597717,0.200601,-0.007236,-0.373816,0.270261,12.775860,0.269628,0.034971,0.299943,-0.379577,0.018548,0.013278,-0.028515,-0.000000,0.000000,0.000000,0.299847,-0.141906,-0.098050,0.000000,0.000000,0.341544,-0.112634,-0.273243,0.196745
