t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z
3.1430,0.180571,0.257745,-0.226830,-0.275831,-0.023395,-0.227135,0.536043,9.426219,0.444453,0.180571,0.353745,-0.091830,-0.090562,0.286004,0.000000,-0.037219,0.069161,0.000000,0.000000,0.000000,0.000000
3.1690,0.179599,0.259541,-0.226830,-0.275997,-0.023980,-0.227084,0.536612,9.547911,0.446284,0.179599,0.355541,-0.091830,-0.091180,0.285808,0.000000,-0.037501,0.069008,0.000000,0.000000,0.000000,0.000000
3.2200,0.177673,0.263053,-0.226830,-0.274732,-0.022621,-0.228921,0.535055,9.226510,0.446808,0.177673,0.359053,-0.091830,-0.092391,0.285419,0.000000,-0.038053,0.068706,0.000000,0.000000,0.000000,0.000000
3.2690,0.175795,0.266412,-0.226830,-0.272896,-0.020752,-0.228387,0.532719,9.087762,0.446654,0.175795,0.362412,-0.091830,-0.093552,0.285040,0.000000,-0.038581,0.068411,0.000000,0.000000,0.000000,0.000000
3.3190,0.173853,0.269825,-0.226830,-0.271715,-0.019846,-0.227713,0.531452,9.343605,0.447675,0.173853,0.365825,-0.091830,-0.094733,0.284650,0.000000,-0.039117,0.068106,0.000000,0.000000,0.000000,0.000000
3.3690,0.171884,0.273223,-0.226830,-0.269868,-0.018001,-0.226103,0.529109,10.035788,0.447599,0.171884,0.369223,-0.091830,-0.095911,0.284255,0.000000,-0.039650,0.067796,0.000000,0.000000,0.000000,0.000000
3.4190,0.169888,0.276605,-0.226830,-0.268544,-0.017803,-0.227294,0.528109,10.267761,0.449046,0.169888,0.372605,-0.091830,-0.097086,0.283856,0.000000,-0.040182,0.067483,0.000000,0.000000,0.000000,0.000000
3.4690,0.167866,0.279971,-0.226830,-0.268448,-0.018736,-0.227844,0.528768,10.381666,0.452043,0.167866,0.375971,-0.091830,-0.098258,0.283453,0.000000,-0.040710,0.067165,0.000000,0.000000,0.000000,0.000000
3.5200,0.165776,0.283388,-0.226830,-0.268558,-0.019661,-0.227956,0.529609,10.521951,0.455163,0.165776,0.379388,-0.091830,-0.099451,0.283036,0.000000,-0.041247,0.066837,0.000000,0.000000,0.000000,0.000000
3.5690,0.163742,0.286655,-0.226830,-0.268722,-0.020951,-0.227814,0.530705,10.787120,0.458538,0.163742,0.382655,-0.091830,-0.100594,0.282632,0.000000,-0.041760,0.066517,0.000000,0.000000,0.000000,0.000000
