stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,degraded_pose_valid,false_valid
0.000000,socket,0.000351102,0.177696,0.177558,0.592130,4,16,1,0,0
0.000000,bulb,0.003194283,0.546939,0.535935,0.661876,4,16,1,0,0
0.033333,socket,0.000463899,0.126874,0.109653,0.514266,4,16,1,0,0
0.033333,bulb,0.000788860,0.252725,0.224076,0.517335,4,16,1,0,0
0.066667,socket,0.000786910,0.354694,0.338942,0.523896,4,16,1,0,0
0.066667,bulb,0.001127172,0.349225,0.348389,0.547760,4,16,1,0,0
0.100000,socket,0.000287736,0.344902,0.331975,0.522051,4,16,1,0,0
0.100000,bulb,0.000548032,0.467053,0.465419,0.451195,4,16,1,0,0
0.133333,socket,0.001060511,0.193466,0.184568,0.564037,4,16,1,0,0
0.133333,bulb,0.000981189,0.609827,0.609264,0.643370,4,16,1,0,0
0.166667,socket,0.000438636,0.164016,0.141729,0.644095,4,16,1,0,0
0.166667,bulb,0.001146928,0.539923,0.539921,0.594538,4,16,1,0,0
0.200000,socket,0.000308619,0.175263,0.174459,0.656309,4,16,1,0,0
0.200000,bulb,0.000641103,0.617083,0.614668,0.517036,4,16,1,0,0
0.233333,socket,0.000498257,0.155040,0.115580,0.576568,4,16,1,0,0
0.233333,bulb,0.000426566,0.185199,0.167644,0.570067,4,16,1,0,0
0.266667,socket,0.000254058,0.134181,0.134104,0.607626,4,16,1,0,0
0.266667,bulb,0.004157580,0.229894,0.206751,0.519297,4,16,1,0,0
0.300000,socket,0.001395455,0.448414,0.448391,0.510456,4,16,1,0,0
0.300000,bulb,0.000291009,0.225906,0.202079,0.495446,4,16,1,0,0
0.333333,socket,0.000239977,0.199271,0.198480,0.577917,4,16,1,0,0
0.333333,bulb,0.000439968,0.269321,0.256968,0.498536,4,16,1,0,0
0.366667,socket,0.002141799,0.259966,0.255555,0.570911,4,16,1,0,0
0.366667,bulb,0.000448698,0.239612,0.232566,0.652849,4,16,1,0,0
0.400000,socket,0.000184192,0.073943,0.073658,0.440927,4,16,1,0,0
0.400000,bulb,0.001169481,0.209403,0.209062,0.434393,4,16,1,0,0
0.433333,socket,0.000664089,0.147346,0.111715,0.581525,4,16,1,0,0
0.433333,bulb,0.001215044,0.279357,0.258017,0.500392,4,16,1,0,0
0.466667,socket,0.000085386,0.299988,0.299987,0.570741,4,16,1,0,0
0.466667,bulb,0.000583489,0.424477,0.424365,0.521091,4,16,1,0,0
0.500000,socket,0.000324487,0.222028,0.221250,0.534844,4,16,1,0,0
0.500000,bulb,0.001017131,0.294195,0.281188,0.564779,4,16,1,0,0
0.533333,socket,0.000755519,0.223631,0.223316,0.599679,4,16,1,0,0
0.533333,bulb,0.001535760,0.334524,0.207694,0.578891,4,16,1,0,0
0.566667,socket,0.000544520,0.250199,0.244687,0.606551,4,16,1,0,0
0.566667,bulb,0.000695660,0.352239,0.348360,0.511736,4,16,1,0,0
