stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,degraded_pose_valid,false_valid
0.000000,socket,0.000025919,0.013190,0.013180,0.065791,4,16,1,0,0
0.000000,bulb,0.000236870,0.040962,0.040163,0.073509,4,16,1,0,0
0.033333,socket,0.000034400,0.009379,0.008101,0.057141,4,16,1,0,0
0.033333,bulb,0.000058212,0.018822,0.016711,0.057479,4,16,1,0,0
0.066667,socket,0.000058649,0.026210,0.025042,0.058219,4,16,1,0,0
0.066667,bulb,0.000083203,0.025860,0.025798,0.060863,4,16,1,0,0
0.100000,socket,0.000021653,0.025569,0.024613,0.058000,4,16,1,0,0
0.100000,bulb,0.000041534,0.034995,0.034875,0.050101,4,16,1,0,0
0.133333,socket,0.000078532,0.014442,0.013786,0.062661,4,16,1,0,0
0.133333,bulb,0.000071460,0.044841,0.044798,0.071510,4,16,1,0,0
0.166667,socket,0.000032567,0.012116,0.010462,0.071568,4,16,1,0,0
0.166667,bulb,0.000085898,0.040073,0.040073,0.066051,4,16,1,0,0
0.200000,socket,0.000022987,0.012898,0.012838,0.072929,4,16,1,0,0
0.200000,bulb,0.000049060,0.046650,0.046477,0.057368,4,16,1,0,0
0.233333,socket,0.000036978,0.011509,0.008600,0.064060,4,16,1,0,0
0.233333,bulb,0.000031426,0.013657,0.012347,0.063342,4,16,1,0,0
0.266667,socket,0.000018760,0.009985,0.009980,0.067510,4,16,1,0,0
0.266667,bulb,0.000306747,0.016941,0.015234,0.057699,4,16,1,0,0
0.300000,socket,0.000102887,0.033464,0.033462,0.056672,4,16,1,0,0
0.300000,bulb,0.000021451,0.016744,0.014978,0.055049,4,16,1,0,0
0.333333,socket,0.000017844,0.014787,0.014728,0.064210,4,16,1,0,0
0.333333,bulb,0.000032350,0.019977,0.019061,0.055392,4,16,1,0,0
0.366667,socket,0.000158900,0.019410,0.019085,0.063423,4,16,1,0,0
0.366667,bulb,0.000033081,0.017818,0.017298,0.072537,4,16,1,0,0
0.400000,socket,0.000013679,0.005468,0.005446,0.048992,4,16,1,0,0
0.400000,bulb,0.000086761,0.015523,0.015498,0.048264,4,16,1,0,0
0.433333,socket,0.000049249,0.010893,0.008252,0.064614,4,16,1,0,0
0.433333,bulb,0.000090154,0.020747,0.019176,0.055596,4,16,1,0,0
0.466667,socket,0.000006242,0.022233,0.022233,0.063414,4,16,1,0,0
0.466667,bulb,0.000043214,0.031375,0.031367,0.057903,4,16,1,0,0
0.500000,socket,0.000024150,0.016559,0.016502,0.059412,4,16,1,0,0
0.500000,bulb,0.000075082,0.021739,0.020770,0.062755,4,16,1,0,0
0.533333,socket,0.000055888,0.016308,0.016284,0.066662,4,16,1,0,0
0.533333,bulb,0.000113186,0.024813,0.015391,0.064322,4,16,1,0,0
0.566667,socket,0.000040506,0.018464,0.018055,0.067402,4,16,1,0,0
0.566667,bulb,0.000051105,0.026269,0.025984,0.056852,4,16,1,0,0
0.600000,socket,0.000053309,0.013826,0.009708,0.065551,4,16,1,0,0
0.600000,bulb,0.000030828,0.025144,0.025064,0.060101,4,16,1,0,0
0.633333,socket,0.000058208,0.027601,0.027240,0.047058,4,16,1,0,0
0.633333,bulb,0.000177036,0.006211,0.005553,0.063880,4,16,1,0,0
0.666667,socket,0.000007929,0.023776,0.023773,0.071117,4,16,1,0,0
0.666667,bulb,0.000117033,0.046759,0.046705,0.068032,4,16,1,0,0
0.700000,socket,0.000018722,0.009361,0.009317,0.057543,4,16,1,0,0
0.700000,bulb,0.000094458,0.035470,0.033205,0.067998,4,16,1,0,0
0.733333,socket,0.000086780,0.015983,0.014380,0.081829,4,16,1,0,0
0.733333,bulb,0.000143690,0.040243,0.040080,0.070322,4,16,1,0,0
0.766667,socket,0.000041747,0.020877,0.020783,0.059658,4,16,1,0,0
0.766667,bulb,0.000018611,0.024713,0.024309,0.067235,4,16,1,0,0
0.800000,socket,0.000028834,0.016821,0.016818,0.069276,4,16,1,0,0
0.800000,bulb,0.000086250,0.064525,0.064492,0.078709,4,16,1,0,0
0.833333,socket,0.000050842,0.011315,0.011216,0.072958,4,16,1,0,0
0.833333,bulb,0.000085004,0.025327,0.024829,0.067899,4,16,1,0,0
0.866667,socket,0.000011816,0.010133,0.010131,0.056804,4,16,1,0,0
0.866667,bulb,0.000051167,0.028271,0.024532,0.064896,4,16,1,0,0
0.900000,socket,0.000033051,0.014700,0.011182,0.058637,4,16,1,0,0
0.900000,bulb,0.000136391,0.034417,0.034401,0.051521,4,16,1,0,0
0.933333,socket,0.000014810,0.012315,0.012287,0.056418,4,16,1,0,0
0.933333,bulb,0.000075603,0.034027,0.030903,0.074035,4,16,1,0,0
0.966667,socket,0.000026974,0.008223,0.008102,0.080630,4,16,1,0,0
0.966667,bulb,0.000155318,0.037519,0.030696,0.046965,4,16,1,0,0
1.000000,socket,0.000048651,0.012786,0.012619,0.069140,4,16,1,0,0
1.000000,bulb,0.000024528,0.023687,0.022965,0.065614,4,16,1,0,0
1.033333,socket,0.000052526,0.007854,0.004413,0.066532,4,16,1,0,0
1.033333,bulb,0.000104922,0.021360,0.017978,0.066882,4,16,1,0,0
1.066667,socket,0.000111185,0.019354,0.019147,0.064792,4,16,1,0,0
1.066667,bulb,0.000205028,0.020549,0.020150,0.068816,4,16,1,0,0
1.100000,socket,0.000007246,0.009722,0.009412,0.064520,4,16,1,0,0
1.100000,bulb,0.000237288,0.044929,0.044826,0.070184,4,16,1,0,0
1.133333,socket,0.000013448,0.023250,0.023020,0.065043,4,16,1,0,0
1.133333,bulb,0.000051927,0.028342,0.019820,0.064617,4,16,1,0,0
1.166667,socket,0.000011225,0.014454,0.014421,0.068848,4,16,1,0,0
1.166667,bulb,0.000078756,0.069966,0.069539,0.066540,4,16,1,0,0
1.200000,socket,0.000007695,0.013778,0.012981,0.064112,4,16,1,0,0
1.200000,bulb,0.000151156,0.049391,0.049262,0.060648,4,16,1,0,0
1.233333,socket,0.000021446,0.011259,0.011253,0.056456,4,16,1,0,0
1.233333,bulb,0.000112141,0.044201,0.044109,0.069559,4,16,1,0,0
1.266667,socket,0.000027335,0.022417,0.020582,0.060467,4,16,1,0,0
1.266667,bulb,0.000102263,0.017149,0.010637,0.065911,4,16,1,0,0
1.300000,socket,0.000055035,0.012820,0.011822,0.055784,4,16,1,0,0
1.300000,bulb,0.000075809,0.047885,0.045640,0.055655,4,16,1,0,0
1.333333,socket,0.000058842,0.011347,0.011276,0.066530,4,16,1,0,0
1.333333,bulb,0.000044321,0.037228,0.036630,0.057700,4,16,1,0,0
1.366667,socket,0.000100273,0.012211,0.011349,0.058998,4,16,1,0,0
1.366667,bulb,0.000072118,0.032267,0.025908,0.067468,4,16,1,0,0
1.400000,socket,0.000012989,0.029068,0.028301,0.074570,4,16,1,0,0
1.400000,bulb,0.000085755,0.039459,0.037630,0.065112,4,16,1,0,0
1.433333,socket,0.000064550,0.017250,0.017231,0.058279,4,16,1,0,0
1.433333,bulb,0.000177153,0.036655,0.036468,0.056258,4,16,1,0,0
1.466667,socket,0.000103441,0.012038,0.012033,0.058642,4,16,1,0,0
1.466667,bulb,0.000094459,0.030003,0.024841,0.052525,4,16,1,0,0
1.500000,socket,0.000046821,0.017399,0.017256,0.068866,4,16,1,0,0
1.500000,bulb,0.000051651,0.026482,0.023610,0.074354,4,16,1,0,0
1.533333,socket,0.000048622,0.021425,0.021408,0.066995,4,16,1,0,0
1.533333,bulb,0.000173947,0.022159,0.022047,0.056582,4,16,1,0,0
1.566667,socket,0.000010342,0.031907,0.031827,0.046565,4,16,1,0,0
1.566667,bulb,0.000072878,0.023116,0.021381,0.061724,4,16,1,0,0
1.600000,socket,0.000014986,0.019658,0.018140,0.050093,4,16,1,0,0
1.600000,bulb,0.000028457,0.007835,0.004536,0.071659,4,16,1,0,0
1.633333,socket,0.000022214,0.019756,0.019522,0.063205,4,16,1,0,0
1.633333,bulb,0.000051597,0.057124,0.057037,0.045136,4,16,1,0,0
1.666667,socket,0.000082673,0.008129,0.007989,0.065906,4,16,1,0,0
1.666667,bulb,0.000113133,0.066823,0.066602,0.057982,4,16,1,0,0
1.700000,socket,0.000119325,0.005852,0.005844,0.059527,4,16,1,0,0
1.700000,bulb,0.000048905,0.028883,0.024861,0.071161,4,16,1,0,0
1.733333,socket,0.000088864,0.010428,0.010404,0.071468,4,16,1,0,0
1.733333,bulb,0.000122373,0.058593,0.058382,0.077977,4,16,1,0,0
1.766667,socket,0.000044804,0.010854,0.010839,0.062658,4,16,1,0,0
1.766667,bulb,0.000249156,0.066363,0.065970,0.067059,4,16,1,0,0
1.800000,socket,0.000021285,0.007101,0.005707,0.051698,4,16,1,0,0
1.800000,bulb,0.000070550,0.055302,0.055229,0.067631,4,16,1,0,0
1.833333,socket,0.000019034,0.012582,0.011686,0.060005,4,16,1,0,0
1.833333,bulb,0.000191316,0.022924,0.019835,0.065699,4,16,1,0,0
1.866667,socket,0.000042650,0.008183,0.005248,0.056108,4,16,1,0,0
1.866667,bulb,0.000030164,0.029233,0.024747,0.062514,4,16,1,0,0
1.900000,socket,0.000016766,0.033210,0.033155,0.074086,4,16,1,0,0
1.900000,bulb,0.000032183,0.021213,0.019008,0.055034,4,16,1,0,0
1.933333,socket,0.000088369,0.016078,0.015460,0.063253,4,16,1,0,0
1.933333,bulb,0.000180627,0.026122,0.021202,0.057083,4,16,1,0,0
1.966667,socket,0.000037819,0.012512,0.012088,0.052830,4,16,1,0,0
1.966667,bulb,0.000128225,0.030346,0.026262,0.059601,4,16,1,0,0
2.000000,socket,0.000027654,0.017989,0.017954,0.065398,4,16,1,0,0
2.000000,bulb,0.000024613,0.017944,0.015516,0.060204,4,16,1,0,0
2.033333,socket,0.000039897,0.018979,0.018930,0.051424,4,16,1,0,0
2.033333,bulb,0.000045677,0.034660,0.034311,0.080610,4,16,1,0,0
2.066667,socket,0.000040653,0.012909,0.010955,0.057405,4,16,1,0,0
2.066667,bulb,0.000261619,0.048434,0.048305,0.059920,4,16,1,0,0
2.100000,socket,0.000020581,0.007696,0.006643,0.060223,4,16,1,0,0
2.100000,bulb,0.000106086,0.038890,0.038790,0.060203,4,16,1,0,0
2.133333,socket,0.000051470,0.025743,0.025743,0.073356,4,16,1,0,0
2.133333,bulb,0.000069595,0.021917,0.021399,0.068386,4,16,1,0,0
2.166667,socket,0.000023559,0.018770,0.018762,0.065008,4,16,1,0,0
