stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,degraded_pose_valid,false_valid
0.000000,socket,0.000041493,0.021099,0.021082,0.105265,4,16,1,0,0
0.000000,bulb,0.000378957,0.065501,0.064221,0.117617,4,16,1,0,0
0.033333,socket,0.000055028,0.015006,0.012962,0.091426,4,16,1,0,0
0.033333,bulb,0.000093190,0.030087,0.026707,0.091967,4,16,1,0,0
0.066667,socket,0.000093806,0.041939,0.040069,0.093149,4,16,1,0,0
0.066667,bulb,0.000133111,0.041380,0.041281,0.097381,4,16,1,0,0
0.100000,socket,0.000034611,0.040910,0.039380,0.092801,4,16,1,0,0
0.100000,bulb,0.000066400,0.055975,0.055783,0.080164,4,16,1,0,0
0.133333,socket,0.000125641,0.023093,0.022042,0.100258,4,16,1,0,0
0.133333,bulb,0.000114381,0.071766,0.071698,0.114415,4,16,1,0,0
0.166667,socket,0.000052108,0.019384,0.016737,0.114509,4,16,1,0,0
0.166667,bulb,0.000137412,0.064103,0.064103,0.105683,4,16,1,0,0
0.200000,socket,0.000036760,0.020644,0.020549,0.116686,4,16,1,0,0
0.200000,bulb,0.000078405,0.074572,0.074294,0.091795,4,16,1,0,0
0.233333,socket,0.000059212,0.018412,0.013757,0.102496,4,16,1,0,0
0.233333,bulb,0.000050314,0.021867,0.019775,0.101347,4,16,1,0,0
0.266667,socket,0.000030018,0.015974,0.015965,0.108017,4,16,1,0,0
0.266667,bulb,0.000490916,0.027122,0.024392,0.092319,4,16,1,0,0
0.300000,socket,0.000164671,0.053520,0.053518,0.090678,4,16,1,0,0
0.300000,bulb,0.000034303,0.026770,0.023942,0.088079,4,16,1,0,0
0.333333,socket,0.000028557,0.023660,0.023567,0.102737,4,16,1,0,0
0.333333,bulb,0.000051764,0.031983,0.030521,0.088628,4,16,1,0,0
0.366667,socket,0.000254246,0.031041,0.030519,0.101478,4,16,1,0,0
0.366667,bulb,0.000052939,0.028522,0.027691,0.116059,4,16,1,0,0
0.400000,socket,0.000021857,0.008753,0.008719,0.078388,4,16,1,0,0
0.400000,bulb,0.000138793,0.024816,0.024775,0.077223,4,16,1,0,0
0.433333,socket,0.000078805,0.017432,0.013208,0.103383,4,16,1,0,0
0.433333,bulb,0.000144289,0.033202,0.030689,0.088954,4,16,1,0,0
0.466667,socket,0.000009992,0.035570,0.035570,0.101462,4,16,1,0,0
0.466667,bulb,0.000069150,0.050214,0.050200,0.092645,4,16,1,0,0
0.500000,socket,0.000038624,0.026489,0.026397,0.095061,4,16,1,0,0
0.500000,bulb,0.000120132,0.034790,0.033241,0.100409,4,16,1,0,0
0.533333,socket,0.000089404,0.026111,0.026073,0.106657,4,16,1,0,0
0.533333,bulb,0.000181210,0.039699,0.024628,0.102915,4,16,1,0,0
0.566667,socket,0.000064826,0.029544,0.028888,0.107842,4,16,1,0,0
0.566667,bulb,0.000081896,0.042001,0.041545,0.090964,4,16,1,0,0
0.600000,socket,0.000085307,0.022125,0.015536,0.104881,4,16,1,0,0
0.600000,bulb,0.000049273,0.040206,0.040078,0.096161,4,16,1,0,0
0.633333,socket,0.000093134,0.044153,0.043576,0.075296,4,16,1,0,0
0.633333,bulb,0.000283245,0.009942,0.008892,0.102209,4,16,1,0,0
0.666667,socket,0.000012677,0.038046,0.038040,0.113788,4,16,1,0,0
0.666667,bulb,0.000187277,0.074826,0.074738,0.108850,4,16,1,0,0
0.700000,socket,0.000029959,0.014985,0.014915,0.092069,4,16,1,0,0
0.700000,bulb,0.000150975,0.056721,0.053095,0.108799,4,16,1,0,0
0.733333,socket,0.000138812,0.025567,0.023003,0.130926,4,16,1,0,0
0.733333,bulb,0.000229823,0.064328,0.064067,0.112519,4,16,1,0,0
0.766667,socket,0.000066788,0.033392,0.033241,0.095454,4,16,1,0,0
0.766667,bulb,0.000029804,0.039555,0.038908,0.107574,4,16,1,0,0
0.800000,socket,0.000046143,0.026920,0.026916,0.110842,4,16,1,0,0
0.800000,bulb,0.000137921,0.103245,0.103192,0.125935,4,16,1,0,0
0.833333,socket,0.000081341,0.018100,0.017941,0.116733,4,16,1,0,0
0.833333,bulb,0.000136048,0.040536,0.039739,0.108638,4,16,1,0,0
0.866667,socket,0.000018892,0.016213,0.016210,0.090887,4,16,1,0,0
0.866667,bulb,0.000081820,0.045211,0.039227,0.103834,4,16,1,0,0
0.900000,socket,0.000052904,0.023514,0.017887,0.093820,4,16,1,0,0
0.900000,bulb,0.000218291,0.055101,0.055075,0.082431,4,16,1,0,0
0.933333,socket,0.000023699,0.019709,0.019664,0.090269,4,16,1,0,0
0.933333,bulb,0.000120910,0.054382,0.049377,0.118459,4,16,1,0,0
0.966667,socket,0.000043170,0.013168,0.012974,0.129008,4,16,1,0,0
0.966667,bulb,0.000248671,0.060020,0.049105,0.075144,4,16,1,0,0
1.000000,socket,0.000077835,0.020459,0.020191,0.110624,4,16,1,0,0
1.000000,bulb,0.000039272,0.037955,0.036801,0.104980,4,16,1,0,0
1.033333,socket,0.000084031,0.012566,0.007058,0.106451,4,16,1,0,0
1.033333,bulb,0.000167912,0.034177,0.028761,0.107011,4,16,1,0,0
1.066667,socket,0.000177883,0.030973,0.030643,0.103667,4,16,1,0,0
1.066667,bulb,0.000328097,0.032891,0.032254,0.110106,4,16,1,0,0
1.100000,socket,0.000011581,0.015556,0.015059,0.103232,4,16,1,0,0
1.100000,bulb,0.000379641,0.071888,0.071723,0.112296,4,16,1,0,0
1.133333,socket,0.000021507,0.037197,0.036829,0.104068,4,16,1,0,0
1.133333,bulb,0.000083012,0.045328,0.031684,0.103387,4,16,1,0,0
1.166667,socket,0.000017939,0.023132,0.023080,0.110157,4,16,1,0,0
1.166667,bulb,0.000126058,0.111959,0.111277,0.106463,4,16,1,0,0
1.200000,socket,0.000012272,0.022042,0.020767,0.102580,4,16,1,0,0
1.200000,bulb,0.000241746,0.078983,0.078777,0.097040,4,16,1,0,0
1.233333,socket,0.000034300,0.018019,0.018009,0.090330,4,16,1,0,0
1.233333,bulb,0.000179344,0.070745,0.070597,0.111294,4,16,1,0,0
1.266667,socket,0.000043745,0.035865,0.032929,0.096747,4,16,1,0,0
1.266667,bulb,0.000163674,0.027475,0.017083,0.105457,4,16,1,0,0
1.300000,socket,0.000088044,0.020515,0.018920,0.089254,4,16,1,0,0
1.300000,bulb,0.000121191,0.076624,0.073030,0.089048,4,16,1,0,0
1.333333,socket,0.000094137,0.018147,0.018032,0.106449,4,16,1,0,0
1.333333,bulb,0.000070946,0.059520,0.058563,0.092322,4,16,1,0,0
1.366667,socket,0.000160375,0.019529,0.018150,0.094397,4,16,1,0,0
1.366667,bulb,0.000115355,0.051637,0.041459,0.107948,4,16,1,0,0
1.400000,socket,0.000020757,0.046497,0.045269,0.119314,4,16,1,0,0
1.400000,bulb,0.000137104,0.063127,0.060200,0.104179,4,16,1,0,0
1.433333,socket,0.000103298,0.027607,0.027577,0.093246,4,16,1,0,0
1.433333,bulb,0.000283502,0.058713,0.058415,0.090011,4,16,1,0,0
1.466667,socket,0.000165503,0.019254,0.019245,0.093827,4,16,1,0,0
1.466667,bulb,0.000151239,0.047997,0.039737,0.084041,4,16,1,0,0
1.500000,socket,0.000074923,0.027822,0.027593,0.110186,4,16,1,0,0
1.500000,bulb,0.000082568,0.042389,0.037795,0.118967,4,16,1,0,0
1.533333,socket,0.000077789,0.034276,0.034251,0.107192,4,16,1,0,0
1.533333,bulb,0.000278298,0.035451,0.035271,0.090531,4,16,1,0,0
1.566667,socket,0.000016591,0.051042,0.050913,0.074506,4,16,1,0,0
1.566667,bulb,0.000116583,0.036995,0.034219,0.098759,4,16,1,0,0
1.600000,socket,0.000023977,0.031455,0.029027,0.080149,4,16,1,0,0
1.600000,bulb,0.000045548,0.012529,0.007248,0.114654,4,16,1,0,0
1.633333,socket,0.000035569,0.031613,0.031239,0.101129,4,16,1,0,0
1.633333,bulb,0.000082633,0.091395,0.091256,0.072219,4,16,1,0,0
1.666667,socket,0.000132266,0.013011,0.012787,0.105449,4,16,1,0,0
1.666667,bulb,0.000180803,0.106917,0.106562,0.092772,4,16,1,0,0
1.700000,socket,0.000190956,0.009360,0.009348,0.095243,4,16,1,0,0
1.700000,bulb,0.000078359,0.046195,0.039755,0.113859,4,16,1,0,0
1.733333,socket,0.000142175,0.016675,0.016635,0.114348,4,16,1,0,0
1.733333,bulb,0.000195944,0.093691,0.093354,0.124769,4,16,1,0,0
1.766667,socket,0.000071684,0.017361,0.017336,0.100252,4,16,1,0,0
1.766667,bulb,0.000398615,0.106119,0.105491,0.107302,4,16,1,0,0
1.800000,socket,0.000034067,0.011364,0.009136,0.082717,4,16,1,0,0
1.800000,bulb,0.000112975,0.088479,0.088363,0.108210,4,16,1,0,0
1.833333,socket,0.000030472,0.020135,0.018702,0.096008,4,16,1,0,0
1.833333,bulb,0.000306088,0.036679,0.031734,0.105118,4,16,1,0,0
1.866667,socket,0.000068255,0.013096,0.008404,0.089773,4,16,1,0,0
1.866667,bulb,0.000048244,0.046758,0.039573,0.100023,4,16,1,0,0
1.900000,socket,0.000026774,0.053123,0.053035,0.118539,4,16,1,0,0
1.900000,bulb,0.000051412,0.033958,0.030432,0.088055,4,16,1,0,0
1.933333,socket,0.000141410,0.025723,0.024733,0.101205,4,16,1,0,0
1.933333,bulb,0.000288950,0.041781,0.033905,0.091334,4,16,1,0,0
1.966667,socket,0.000060494,0.020027,0.019348,0.084527,4,16,1,0,0
1.966667,bulb,0.000205194,0.048523,0.041988,0.095363,4,16,1,0,0
2.000000,socket,0.000044225,0.028787,0.028732,0.104637,4,16,1,0,0
2.000000,bulb,0.000039352,0.028711,0.024824,0.096327,4,16,1,0,0
2.033333,socket,0.000063844,0.030373,0.030294,0.082278,4,16,1,0,0
2.033333,bulb,0.000073032,0.055416,0.054858,0.128977,4,16,1,0,0
2.066667,socket,0.000065048,0.020658,0.017533,0.091848,4,16,1,0,0
2.066667,bulb,0.000418531,0.077527,0.077321,0.095869,4,16,1,0,0
2.100000,socket,0.000032932,0.012312,0.010629,0.096358,4,16,1,0,0
2.100000,bulb,0.000169676,0.062204,0.062045,0.096326,4,16,1,0,0
2.133333,socket,0.000082308,0.041181,0.041181,0.117371,4,16,1,0,0
2.133333,bulb,0.000111270,0.035024,0.034195,0.109419,4,16,1,0,0
2.166667,socket,0.000037666,0.030036,0.030023,0.104012,4,16,1,0,0
2.166667,bulb,0.000318389,0.080956,0.080945,0.102020,4,16,1,0,0
2.200000,socket,0.000062068,0.027751,0.027577,0.085581,4,16,1,0,0
2.200000,bulb,0.000211823,0.137099,0.137075,0.096344,4,16,1,0,0
2.233333,socket,0.000075839,0.021848,0.019723,0.091743,4,16,1,0,0
2.233333,bulb,0.000243294,0.006822,0.005397,0.109537,4,16,1,0,0
2.266667,socket,0.000120118,0.052905,0.052321,0.082920,4,16,1,0,0
2.266667,bulb,0.000082559,0.038459,0.038002,0.113154,4,16,1,0,0
2.300000,socket,0.000103197,0.013304,0.003779,0.129758,4,16,1,0,0
2.300000,bulb,0.000307441,0.059205,0.059103,0.096152,4,16,1,0,0
2.333333,socket,0.000008034,0.053499,0.053469,0.099145,4,16,1,0,0
2.333333,bulb,0.000126417,0.069166,0.065611,0.109083,4,16,1,0,0
2.366667,socket,0.000051238,0.014437,0.014073,0.083462,4,16,1,0,0
2.366667,bulb,0.000064101,0.048485,0.048420,0.106830,4,16,1,0,0
2.400000,socket,0.000131258,0.008455,0.008433,0.076007,4,16,1,0,0
2.400000,bulb,0.000189533,0.044440,0.041183,0.116499,4,16,1,0,0
2.433333,socket,0.000064714,0.035456,0.034472,0.099577,4,16,1,0,0
2.433333,bulb,0.000062580,0.073258,0.072136,0.098490,4,16,1,0,0
2.466667,socket,0.000072347,0.026841,0.026745,0.112514,4,16,1,0,0
2.466667,bulb,0.000409877,0.075196,0.075097,0.129820,4,16,1,0,0
2.500000,socket,0.000014530,0.029461,0.029457,0.112557,4,16,1,0,0
2.500000,bulb,0.000211887,0.040524,0.040228,0.091950,4,16,1,0,0
2.533333,socket,0.000039719,0.012666,0.012163,0.113664,4,16,1,0,0
2.533333,bulb,0.000345487,0.045450,0.042244,0.109384,4,16,1,0,0
2.566667,socket,0.000096437,0.038438,0.038323,0.112112,4,16,1,0,0
2.566667,bulb,0.000381725,0.044946,0.044451,0.078796,4,16,1,0,0
