stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,degraded_pose_valid,false_valid
0.000000,socket,0.000037235,0.006020,0.005987,0.101132,3,12,1,0,0
0.000000,bulb,0.000055910,0.059589,0.059010,0.125749,4,16,1,0,0
0.033333,socket,0.000191130,0.027488,0.027271,0.101939,3,12,1,0,0
0.033333,bulb,0.000114415,0.035225,0.034270,0.088533,4,16,1,0,0
0.066667,socket,0.000010184,0.016634,0.015998,0.087781,3,12,1,0,0
0.066667,bulb,0.000404099,0.023121,0.022000,0.108944,4,16,1,0,0
0.100000,socket,0.000017718,0.057204,0.057180,0.072803,3,12,1,0,0
0.100000,bulb,0.000112858,0.084369,0.081145,0.092376,4,16,1,0,0
0.133333,socket,0.000036191,0.036143,0.035742,0.076729,3,12,1,0,0
0.133333,bulb,0.000113909,0.042769,0.041125,0.091506,4,16,1,0,0
0.166667,socket,0.000087115,0.039881,0.038044,0.104200,3,12,1,0,0
0.166667,bulb,0.000035902,0.036026,0.035271,0.110910,4,16,1,0,0
0.200000,socket,0.000095795,0.021758,0.020723,0.130928,3,12,1,0,0
0.200000,bulb,0.000068594,0.056129,0.054829,0.110387,4,16,1,0,0
0.233333,socket,0.000098267,0.037006,0.036643,0.101470,3,12,1,0,0
0.233333,bulb,0.000078424,0.074593,0.074315,0.091790,4,16,1,0,0
0.266667,socket,0.000050947,0.020698,0.016607,0.105391,3,12,1,0,0
0.266667,bulb,0.000192769,0.016211,0.015644,0.096561,4,16,1,0,0
0.300000,socket,0.000119209,0.023193,0.022496,0.116124,3,12,1,0,0
0.300000,bulb,0.000087497,0.035379,0.034427,0.089194,4,16,1,0,0
0.333333,socket,0.000106054,0.017487,0.017400,0.095064,3,12,1,0,0
0.333333,bulb,0.000162648,0.055425,0.052532,0.105507,4,16,1,0,0
0.366667,socket,0.000029318,0.018628,0.017977,0.087934,3,12,1,0,0
0.366667,bulb,0.000088720,0.056330,0.056137,0.101987,4,16,1,0,0
0.400000,socket,0.000029947,0.038744,0.038575,0.085299,3,12,1,0,0
0.400000,bulb,0.000210778,0.042949,0.010107,0.102575,4,16,1,0,0
0.433333,socket,0.000043166,0.015869,0.012150,0.121310,3,12,1,0,0
0.433333,bulb,0.000053104,0.025886,0.023584,0.088118,4,16,1,0,0
0.466667,socket,0.000049119,0.009256,0.006965,0.070340,3,12,1,0,0
