stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,degraded_pose_valid,false_valid
0.000000,socket,0.000091328,0.050008,0.048449,0.070945,2,8,1,0,0
0.000000,bulb,0.000178581,0.124216,0.124191,0.125080,4,16,1,0,0
0.033333,socket,0.000239368,0.036660,0.035540,0.086050,2,8,1,0,0
0.033333,bulb,0.000147641,0.039376,0.036105,0.090694,4,16,1,0,0
0.066667,socket,0.000033601,0.006928,0.006928,0.098364,2,8,1,0,0
0.066667,bulb,0.000116856,0.056374,0.056270,0.089418,4,16,1,0,0
0.100000,socket,0.000167958,0.036069,0.018960,0.089211,2,8,1,0,0
0.100000,bulb,0.000133166,0.041376,0.041276,0.097382,4,16,1,0,0
0.133333,socket,0.000014293,0.073386,0.072048,0.106139,2,8,1,0,0
0.133333,bulb,0.000064256,0.054078,0.053866,0.068957,4,16,1,0,0
0.166667,socket,0.000149044,0.016624,0.015810,0.079310,2,8,1,0,0
0.166667,bulb,0.000325381,0.055280,0.053451,0.099644,4,16,1,0,0
0.200000,socket,0.000110546,0.072188,0.069933,0.083511,2,8,1,0,0
0.200000,bulb,0.000035848,0.036011,0.035256,0.110910,4,16,1,0,0
0.233333,socket,0.000064267,0.041206,0.035953,0.125558,2,8,1,0,0
0.233333,bulb,0.000137325,0.064124,0.064124,0.105682,4,16,1,0,0
0.266667,socket,0.000088931,0.024011,0.014948,0.114524,2,8,1,0,0
0.266667,bulb,0.000041309,0.062798,0.062794,0.103135,4,16,1,0,0
0.300000,socket,0.000048266,0.048868,0.047252,0.058124,2,8,1,0,0
0.300000,bulb,0.000151701,0.043240,0.035361,0.102383,4,16,1,0,0
0.333333,socket,0.000045131,0.016241,0.012764,0.074208,2,8,1,0,0
0.333333,bulb,0.000047675,0.037024,0.035885,0.120515,4,16,1,0,0
0.366667,socket,0.000027744,0.052597,0.051730,0.066107,2,8,1,0,0
0.366667,bulb,0.000490747,0.027115,0.024359,0.092320,4,16,1,0,0
0.400000,socket,0.000084976,0.040368,0.040010,0.077226,2,8,1,0,0
0.400000,bulb,0.000087200,0.053779,0.051311,0.102507,4,16,1,0,0
0.433333,socket,0.000113196,0.043344,0.043332,0.081904,2,8,1,0,0
0.433333,bulb,0.000088686,0.056414,0.056222,0.101982,4,16,1,0,0
0.466667,socket,0.000093698,0.059698,0.059691,0.087254,2,8,1,0,0
0.466667,bulb,0.000365005,0.049744,0.045281,0.095033,4,16,1,0,0
0.500000,socket,0.000331441,0.054474,0.053141,0.087408,2,8,1,0,0
0.500000,bulb,0.000052832,0.028498,0.027664,0.116060,4,16,1,0,0
0.533333,socket,0.000081624,0.023311,0.020220,0.074972,2,8,1,0,0
0.533333,bulb,0.000067402,0.023849,0.022378,0.064862,4,16,1,0,0
0.566667,socket,0.000159922,0.014894,0.009650,0.082501,2,8,1,0,0
0.566667,bulb,0.000201776,0.036882,0.028763,0.103452,4,16,1,0,0
0.600000,socket,0.000063846,0.052837,0.052759,0.078724,2,8,1,0,0
0.600000,bulb,0.000088356,0.041299,0.035653,0.102757,4,16,1,0,0
0.633333,socket,0.000082058,0.036708,0.035497,0.080348,2,8,1,0,0
0.633333,bulb,0.000069121,0.050180,0.050167,0.092648,4,16,1,0,0
0.666667,socket,0.000034837,0.018498,0.010523,0.066522,2,8,1,0,0
0.666667,bulb,0.000179278,0.074768,0.074767,0.101793,4,16,1,0,0
0.700000,socket,0.000055912,0.022872,0.022084,0.095364,2,8,1,0,0
0.700000,bulb,0.000234116,0.055856,0.055736,0.106641,4,16,1,0,0
0.733333,socket,0.000209915,0.018673,0.016483,0.090228,2,8,1,0,0
0.733333,bulb,0.000375782,0.068694,0.068397,0.133504,4,16,1,0,0
0.766667,socket,0.000066615,0.030061,0.029878,0.052333,2,8,1,0,0
0.766667,bulb,0.000082023,0.041886,0.041433,0.090976,4,16,1,0,0
0.800000,socket,0.000103955,0.024439,0.021690,0.085602,2,8,1,0,0
0.800000,bulb,0.000211521,0.073710,0.058435,0.111918,4,16,1,0,0
0.833333,socket,0.000077909,0.031740,0.029980,0.060715,2,8,1,0,0
0.833333,bulb,0.000247337,0.090683,0.089479,0.076004,4,16,1,0,0
0.866667,socket,0.000070772,0.011020,0.010788,0.098161,2,8,1,0,0
0.866667,bulb,0.000133475,0.046945,0.046084,0.117342,4,16,1,0,0
0.900000,socket,0.000049456,0.029635,0.029213,0.100323,2,8,1,0,0
0.900000,bulb,0.000187608,0.074788,0.074699,0.108852,4,16,1,0,0
0.933333,socket,0.000021363,0.031469,0.027419,0.092239,2,8,1,0,0
0.933333,bulb,0.000116481,0.019578,0.013594,0.087284,4,16,1,0,0
0.966667,socket,0.000122130,0.067690,0.067647,0.091659,2,8,1,0,0
0.966667,bulb,0.000362607,0.048374,0.042815,0.131296,4,16,1,0,0
1.000000,socket,0.000059464,0.026212,0.024911,0.106854,2,8,1,0,0
1.000000,bulb,0.000294681,0.002503,0.002503,0.106703,4,16,1,0,0
1.033333,socket,0.000063910,0.038203,0.036689,0.093704,2,8,1,0,0
1.033333,bulb,0.000029457,0.039373,0.038721,0.107589,4,16,1,0,0
1.066667,socket,0.000032736,0.039194,0.035393,0.062287,2,8,1,0,0
1.066667,bulb,0.000083664,0.053337,0.048457,0.120763,4,16,1,0,0
1.100000,socket,0.000156126,0.073217,0.066281,0.113869,2,8,1,0,0
1.100000,bulb,0.000201095,0.045657,0.045415,0.116412,4,16,1,0,0
1.133333,socket,0.000163704,0.051424,0.051138,0.086060,2,8,1,0,0
1.133333,bulb,0.000432311,0.092842,0.089166,0.081362,4,16,1,0,0
1.166667,socket,0.000138699,0.010077,0.009862,0.086941,2,8,1,0,0
1.166667,bulb,0.000081330,0.045118,0.039130,0.103847,4,16,1,0,0
1.200000,socket,0.000061947,0.026805,0.020117,0.085129,2,8,1,0,0
1.200000,bulb,0.000222926,0.039050,0.037701,0.079049,4,16,1,0,0
1.233333,socket,0.000166666,0.035783,0.035097,0.086689,2,8,1,0,0
1.233333,bulb,0.000080168,0.047259,0.047187,0.089675,4,16,1,0,0
1.266667,socket,0.000080020,0.023104,0.022153,0.089594,2,8,1,0,0
1.266667,bulb,0.000061428,0.039095,0.039069,0.118523,4,16,1,0,0
1.300000,socket,0.000062231,0.021302,0.020481,0.139976,2,8,1,0,0
1.300000,bulb,0.000248789,0.060059,0.049112,0.075141,4,16,1,0,0
1.333333,socket,0.000020400,0.072740,0.072432,0.091097,2,8,1,0,0
1.333333,bulb,0.000080305,0.073434,0.073280,0.090596,4,16,1,0,0
1.366667,socket,0.000163389,0.036524,0.024544,0.103553,2,8,1,0,0
1.366667,bulb,0.000219721,0.028920,0.018677,0.106002,4,16,1,0,0
1.400000,socket,0.000019797,0.041843,0.037488,0.095729,2,8,1,0,0
1.400000,bulb,0.000137810,0.072444,0.072212,0.111363,4,16,1,0,0
1.433333,socket,0.000304158,0.019487,0.017466,0.065653,2,8,1,0,0
1.433333,bulb,0.000327813,0.033319,0.032688,0.110078,4,16,1,0,0
1.466667,socket,0.000121265,0.031666,0.026709,0.085836,2,8,1,0,0
1.466667,bulb,0.000255167,0.073441,0.066301,0.109414,4,16,1,0,0
1.500000,socket,0.000173209,0.040041,0.039771,0.091823,2,8,1,0,0
1.500000,bulb,0.000086414,0.069458,0.068707,0.105511,4,16,1,0,0
1.533333,socket,0.000170945,0.019112,0.008459,0.117761,2,8,1,0,0
1.533333,bulb,0.000419352,0.022384,0.019012,0.090931,4,16,1,0,0
1.566667,socket,0.000083758,0.027787,0.025537,0.079525,2,8,1,0,0
1.566667,bulb,0.000125664,0.111889,0.111201,0.106485,4,16,1,0,0
1.600000,socket,0.000062910,0.028830,0.023473,0.088651,2,8,1,0,0
1.600000,bulb,0.000168189,0.036431,0.036293,0.110708,4,16,1,0,0
1.633333,socket,0.000067946,0.029593,0.029276,0.079918,2,8,1,0,0
1.633333,bulb,0.000092278,0.035254,0.035229,0.090651,4,16,1,0,0
1.666667,socket,0.000042435,0.021818,0.020081,0.114055,2,8,1,0,0
1.666667,bulb,0.000098801,0.031757,0.028839,0.111041,4,16,1,0,0
1.700000,socket,0.000096652,0.055752,0.055572,0.087516,2,8,1,0,0
1.700000,bulb,0.000163089,0.027677,0.017336,0.105444,4,16,1,0,0
1.733333,socket,0.000106427,0.025824,0.018423,0.068042,2,8,1,0,0
1.733333,bulb,0.000114266,0.034558,0.032624,0.102846,4,16,1,0,0
1.766667,socket,0.000056736,0.047508,0.047406,0.077123,2,8,1,0,0
1.766667,bulb,0.000240341,0.036915,0.036691,0.106628,4,16,1,0,0
1.800000,socket,0.000126267,0.057907,0.057695,0.077936,2,8,1,0,0
1.800000,bulb,0.000411332,0.062570,0.062036,0.087660,4,16,1,0,0
1.833333,socket,0.000182557,0.058246,0.057356,0.074164,2,8,1,0,0
1.833333,bulb,0.000112427,0.051905,0.041719,0.107931,4,16,1,0,0
1.866667,socket,0.000024224,0.042433,0.041592,0.105819,2,8,1,0,0
1.866667,bulb,0.000080828,0.073739,0.073547,0.123128,4,16,1,0,0
1.900000,socket,0.000325396,0.032601,0.031825,0.062785,2,8,1,0,0
1.900000,bulb,0.000266216,0.053365,0.053321,0.093932,4,16,1,0,0
1.933333,socket,0.000076855,0.046144,0.045654,0.076160,2,8,1,0,0
1.933333,bulb,0.000386748,0.037924,0.037705,0.099165,4,16,1,0,0
1.966667,socket,0.000136974,0.030430,0.030371,0.090765,2,8,1,0,0
1.966667,bulb,0.000152464,0.048623,0.040487,0.083977,4,16,1,0,0
2.000000,socket,0.000053050,0.083336,0.083325,0.103467,2,8,1,0,0
2.000000,bulb,0.000063195,0.056810,0.056808,0.118304,4,16,1,0,0
2.033333,socket,0.000135265,0.031481,0.025913,0.076133,2,8,1,0,0
2.033333,bulb,0.000225915,0.078514,0.078451,0.105841,4,16,1,0,0
2.066667,socket,0.000228723,0.027559,0.026914,0.083489,2,8,1,0,0
2.066667,bulb,0.000184535,0.051115,0.050037,0.079946,4,16,1,0,0
2.100000,socket,0.000011941,0.052363,0.052319,0.080798,2,8,1,0,0
2.100000,bulb,0.000119150,0.037640,0.034906,0.098707,4,16,1,0,0
2.133333,socket,0.000072398,0.029070,0.024005,0.055648,2,8,1,0,0
2.133333,bulb,0.000053336,0.051168,0.049359,0.116242,4,16,1,0,0
2.166667,socket,0.000027936,0.043568,0.039181,0.090458,2,8,1,0,0
2.166667,bulb,0.000106330,0.067314,0.066621,0.100898,4,16,1,0,0
2.200000,socket,0.000034443,0.032951,0.032498,0.059835,2,8,1,0,0
2.200000,bulb,0.000195912,0.029225,0.028040,0.090899,4,16,1,0,0
2.233333,socket,0.000078142,0.041877,0.040290,0.105973,2,8,1,0,0
2.233333,bulb,0.000179202,0.106899,0.106521,0.092807,4,16,1,0,0
2.266667,socket,0.000214012,0.026198,0.025345,0.083408,2,8,1,0,0
2.266667,bulb,0.000237873,0.028876,0.024360,0.120555,4,16,1,0,0
2.300000,socket,0.000166232,0.052849,0.052744,0.074196,2,8,1,0,0
2.300000,bulb,0.000360991,0.033875,0.033800,0.114607,4,16,1,0,0
2.333333,socket,0.000258607,0.060186,0.060161,0.105728,2,8,1,0,0
2.333333,bulb,0.000176565,0.032624,0.032073,0.122264,4,16,1,0,0
2.366667,socket,0.000019397,0.026352,0.026263,0.093179,2,8,1,0,0
2.366667,bulb,0.000395625,0.105630,0.104916,0.107435,4,16,1,0,0
2.400000,socket,0.000049100,0.023415,0.023267,0.065108,2,8,1,0,0
2.400000,bulb,0.000152142,0.072206,0.071915,0.102606,4,16,1,0,0
2.433333,socket,0.000122958,0.031510,0.029336,0.103183,2,8,1,0,0
2.433333,bulb,0.000095258,0.048001,0.045609,0.095574,4,16,1,0,0
2.466667,socket,0.000117862,0.021086,0.020014,0.097532,2,8,1,0,0
2.466667,bulb,0.000151891,0.068645,0.068381,0.101416,4,16,1,0,0
2.500000,socket,0.000088892,0.023464,0.004881,0.076819,2,8,1,0,0
2.500000,bulb,0.000048868,0.046383,0.039218,0.100053,4,16,1,0,0
2.533333,socket,0.000027492,0.040350,0.036672,0.101616,2,8,1,0,0
2.533333,bulb,0.000153379,0.100111,0.099828,0.103589,4,16,1,0,0
2.566667,socket,0.000033923,0.017875,0.016802,0.098135,2,8,1,0,0
