stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,degraded_pose_valid,false_valid
0.000000,socket,0.000175874,0.059168,0.040961,0.015193,1,4,0,1,0
0.000000,bulb,0.000029485,0.035533,0.034955,0.075498,4,16,1,0,0
0.033333,socket,0.000484461,0.064344,0.062443,0.052151,1,4,0,1,0
0.033333,bulb,0.000127166,0.025083,0.018455,0.061647,4,16,1,0,0
0.066667,socket,0.000225464,0.048994,0.048873,0.002983,1,4,0,1,0
0.066667,bulb,0.000104926,0.019425,0.019377,0.059420,4,16,1,0,0
0.100000,socket,0.000176914,0.029500,0.024520,0.022010,1,4,0,1,0
0.100000,bulb,0.000154847,0.051587,0.049037,0.058740,4,16,1,0,0
0.133333,socket,0.000306269,0.066364,0.062306,0.039318,1,4,0,1,0
0.133333,bulb,0.000090695,0.096765,0.096764,0.050897,4,16,1,0,0
0.166667,socket,0.000154912,0.061596,0.035623,0.031719,1,4,0,1,0
0.166667,bulb,0.000040160,0.033793,0.033661,0.043101,4,16,1,0,0
0.200000,socket,0.000090271,0.026654,0.026329,0.042135,1,4,0,1,0
0.200000,bulb,0.000071302,0.026709,0.025683,0.057192,4,16,1,0,0
0.233333,socket,0.000233967,0.055215,0.036913,0.023625,1,4,0,1,0
0.233333,bulb,0.000071272,0.044853,0.044810,0.071510,4,16,1,0,0
0.266667,socket,0.000255135,0.051806,0.047659,0.048004,1,4,0,1,0
0.266667,bulb,0.000106122,0.022150,0.020320,0.074995,4,16,1,0,0
0.300000,socket,0.000047888,0.043267,0.037704,0.008907,1,4,0,1,0
0.300000,bulb,0.000119173,0.049516,0.049385,0.072574,4,16,1,0,0
0.333333,socket,0.000629243,0.047259,0.046390,0.011542,1,4,0,1,0
0.333333,bulb,0.000032907,0.043142,0.042821,0.057182,4,16,1,0,0
0.366667,socket,0.000016760,0.039815,0.039815,0.038074,1,4,0,1,0
0.366667,bulb,0.000094996,0.027019,0.022099,0.063989,4,16,1,0,0
0.400000,socket,0.000072084,0.045956,0.016345,0.019539,1,4,0,1,0
0.400000,bulb,0.000085134,0.033996,0.033992,0.068336,4,16,1,0,0
0.433333,socket,0.000390712,0.039980,0.014332,0.057480,1,4,0,1,0
0.433333,bulb,0.000054645,0.022086,0.021488,0.055747,4,16,1,0,0
0.466667,socket,0.000078899,0.065169,0.026487,0.039647,1,4,0,1,0
0.466667,bulb,0.000051371,0.036949,0.036753,0.054113,4,16,1,0,0
0.500000,socket,0.000066808,0.083949,0.056526,0.028801,1,4,0,1,0
0.500000,bulb,0.000021628,0.016710,0.014944,0.055050,4,16,1,0,0
0.533333,socket,0.000028727,0.033611,0.030682,0.031551,1,4,0,1,0
0.533333,bulb,0.000068433,0.048302,0.048301,0.060645,4,16,1,0,0
0.566667,socket,0.000098765,0.033928,0.014836,0.074234,1,4,0,1,0
0.566667,bulb,0.000228295,0.031089,0.028307,0.059398,4,16,1,0,0
0.600000,socket,0.000441303,0.050595,0.024244,0.045379,1,4,0,1,0
0.600000,bulb,0.000054393,0.017977,0.010595,0.074742,4,16,1,0,0
0.633333,socket,0.000094111,0.029211,0.029076,0.043524,1,4,0,1,0
0.633333,bulb,0.000032528,0.012987,0.012945,0.048952,4,16,1,0,0
0.666667,socket,0.000179596,0.020482,0.020187,0.030520,1,4,0,1,0
0.666667,bulb,0.000023848,0.021868,0.021843,0.052187,4,16,1,0,0
0.700000,socket,0.000087597,0.041578,0.039273,0.051812,1,4,0,1,0
0.700000,bulb,0.000193570,0.005176,0.004398,0.065424,4,16,1,0,0
0.733333,socket,0.000101404,0.049691,0.049553,0.043553,1,4,0,1,0
0.733333,bulb,0.000135639,0.042496,0.042207,0.057789,4,16,1,0,0
0.766667,socket,0.000156667,0.066270,0.042180,0.019248,1,4,0,1,0
0.766667,bulb,0.000043207,0.031356,0.031348,0.057907,4,16,1,0,0
0.800000,socket,0.000327626,0.033723,0.027324,0.006140,1,4,0,1,0
0.800000,bulb,0.000072610,0.041149,0.040026,0.060909,4,16,1,0,0
0.833333,socket,0.000335889,0.052050,0.052030,0.024135,1,4,0,1,0
0.833333,bulb,0.000113818,0.020136,0.018869,0.064307,4,16,1,0,0
0.866667,socket,0.000055788,0.043046,0.038166,0.022978,1,4,0,1,0
0.866667,bulb,0.000275515,0.034814,0.034811,0.066082,4,16,1,0,0
0.900000,socket,0.000020013,0.036196,0.027397,0.008233,1,4,0,1,0
0.900000,bulb,0.000092621,0.035854,0.034925,0.067741,4,16,1,0,0
0.933333,socket,0.000469707,0.023173,0.021342,0.010446,1,4,0,1,0
0.933333,bulb,0.000025646,0.018888,0.018753,0.069208,4,16,1,0,0
0.966667,socket,0.000005702,0.009061,0.008363,0.023773,1,4,0,1,0
0.966667,bulb,0.000131640,0.046045,0.036481,0.069951,4,16,1,0,0
1.000000,socket,0.000267201,0.017853,0.008825,0.005609,1,4,0,1,0
1.000000,bulb,0.000171188,0.051651,0.050689,0.047852,4,16,1,0,0
1.033333,socket,0.000413402,0.020796,0.016676,0.033500,1,4,0,1,0
1.033333,bulb,0.000176963,0.006186,0.005534,0.063883,4,16,1,0,0
1.066667,socket,0.000176056,0.077945,0.030110,0.005749,1,4,0,1,0
