stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,degraded_pose_valid,false_valid
0.000000,socket,nan,nan,nan,inf,0,0,0,0,0
0.000000,bulb,0.000060468,0.022904,0.022895,0.066143,4,16,1,0,0
0.033333,socket,nan,nan,nan,inf,0,0,0,0,0
0.033333,bulb,0.000236907,0.040947,0.040148,0.073509,4,16,1,0,0
0.066667,socket,nan,nan,nan,inf,0,0,0,0,0
0.066667,bulb,0.000092396,0.024606,0.022562,0.056683,4,16,1,0,0
0.100000,socket,nan,nan,nan,inf,0,0,0,0,0
0.100000,bulb,0.000058136,0.018804,0.016689,0.057480,4,16,1,0,0
0.133333,socket,nan,nan,nan,inf,0,0,0,0,0
0.133333,bulb,0.000154736,0.051575,0.049021,0.058741,4,16,1,0,0
0.166667,socket,nan,nan,nan,inf,0,0,0,0,0
0.166667,bulb,0.000083207,0.025861,0.025799,0.060864,4,16,1,0,0
0.200000,socket,nan,nan,nan,inf,0,0,0,0,0
0.200000,bulb,0.000070292,0.052773,0.050758,0.057732,4,16,1,0,0
0.233333,socket,nan,nan,nan,inf,0,0,0,0,0
0.233333,bulb,0.000041503,0.034948,0.034827,0.050106,4,16,1,0,0
0.266667,socket,nan,nan,nan,inf,0,0,0,0,0
0.266667,bulb,0.000203215,0.034559,0.033413,0.062277,4,16,1,0,0
0.300000,socket,nan,nan,nan,inf,0,0,0,0,0
0.300000,bulb,0.000071225,0.044856,0.044813,0.071509,4,16,1,0,0
0.333333,socket,nan,nan,nan,inf,0,0,0,0,0
0.333333,bulb,0.000084328,0.025495,0.022150,0.071502,4,16,1,0,0
0.366667,socket,nan,nan,nan,inf,0,0,0,0,0
0.366667,bulb,0.000085759,0.040085,0.040085,0.066050,4,16,1,0,0
0.400000,socket,nan,nan,nan,inf,0,0,0,0,0
0.400000,bulb,0.000051601,0.020471,0.020309,0.073407,4,16,1,0,0
0.433333,socket,nan,nan,nan,inf,0,0,0,0,0
0.433333,bulb,0.000049161,0.046769,0.046597,0.057346,4,16,1,0,0
0.466667,socket,nan,nan,nan,inf,0,0,0,0,0
0.466667,bulb,0.000095210,0.027016,0.022101,0.063990,4,16,1,0,0
0.500000,socket,nan,nan,nan,inf,0,0,0,0,0
0.500000,bulb,0.000031673,0.013635,0.012325,0.063343,4,16,1,0,0
0.533333,socket,nan,nan,nan,inf,0,0,0,0,0
0.533333,bulb,0.000052177,0.019839,0.019819,0.067564,4,16,1,0,0
0.566667,socket,nan,nan,nan,inf,0,0,0,0,0
0.566667,bulb,0.000306440,0.016963,0.015217,0.057702,4,16,1,0,0
0.600000,socket,nan,nan,nan,inf,0,0,0,0,0
0.600000,bulb,0.000272900,0.068837,0.068829,0.057033,4,16,1,0,0
0.633333,socket,nan,nan,nan,inf,0,0,0,0,0
0.633333,bulb,0.000021703,0.016704,0.014940,0.055050,4,16,1,0,0
0.666667,socket,nan,nan,nan,inf,0,0,0,0,0
0.666667,bulb,0.000055470,0.035393,0.035273,0.063724,4,16,1,0,0
0.700000,socket,nan,nan,nan,inf,0,0,0,0,0
0.700000,bulb,0.000032516,0.020017,0.019108,0.055389,4,16,1,0,0
0.733333,socket,nan,nan,nan,inf,0,0,0,0,0
0.733333,bulb,0.000407294,0.039390,0.038750,0.063702,4,16,1,0,0
0.766667,socket,nan,nan,nan,inf,0,0,0,0,0
0.766667,bulb,0.000032956,0.017794,0.017270,0.072538,4,16,1,0,0
0.800000,socket,nan,nan,nan,inf,0,0,0,0,0
0.800000,bulb,0.000032483,0.012971,0.012927,0.048953,4,16,1,0,0
0.833333,socket,nan,nan,nan,inf,0,0,0,0,0
0.833333,bulb,0.000086429,0.015483,0.015457,0.048268,4,16,1,0,0
0.866667,socket,nan,nan,nan,inf,0,0,0,0,0
0.866667,bulb,0.000126777,0.022998,0.017938,0.064658,4,16,1,0,0
0.900000,socket,nan,nan,nan,inf,0,0,0,0,0
0.900000,bulb,0.000090120,0.020705,0.019141,0.055601,4,16,1,0,0
0.933333,socket,nan,nan,nan,inf,0,0,0,0,0
0.933333,bulb,0.000046357,0.046349,0.046349,0.063459,4,16,1,0,0
0.966667,socket,nan,nan,nan,inf,0,0,0,0,0
0.966667,bulb,0.000043188,0.031315,0.031307,0.057909,4,16,1,0,0
1.000000,socket,nan,nan,nan,inf,0,0,0,0,0
1.000000,bulb,0.000062761,0.035245,0.035102,0.059170,4,16,1,0,0
1.033333,socket,nan,nan,nan,inf,0,0,0,0,0
1.033333,bulb,0.000075467,0.021727,0.020766,0.062758,4,16,1,0,0
1.066667,socket,nan,nan,nan,inf,0,0,0,0,0
1.066667,bulb,0.000146663,0.035097,0.035020,0.066627,4,16,1,0,0
1.100000,socket,nan,nan,nan,inf,0,0,0,0,0
1.100000,bulb,0.000112811,0.024789,0.015348,0.064333,4,16,1,0,0
1.133333,socket,nan,nan,nan,inf,0,0,0,0,0
1.133333,bulb,0.000092691,0.035772,0.034833,0.067750,4,16,1,0,0
1.166667,socket,nan,nan,nan,inf,0,0,0,0,0
1.166667,bulb,0.000051262,0.025955,0.025676,0.056884,4,16,1,0,0
