stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,degraded_pose_valid,false_valid
0.000000,socket,0.000062230,0.031645,0.031621,0.105266,4,16,1,0,0
0.000000,bulb,0.000568416,0.098184,0.096261,0.117620,4,16,1,0,0
0.033333,socket,0.000082554,0.022514,0.019449,0.091426,4,16,1,0,0
0.033333,bulb,0.000139784,0.045120,0.040047,0.091967,4,16,1,0,0
0.066667,socket,0.000140680,0.062916,0.060112,0.093148,4,16,1,0,0
0.066667,bulb,0.000199772,0.062076,0.061927,0.097381,4,16,1,0,0
0.100000,socket,0.000051877,0.061363,0.059069,0.092801,4,16,1,0,0
0.100000,bulb,0.000099397,0.083885,0.083598,0.080167,4,16,1,0,0
0.133333,socket,0.000188486,0.034623,0.033047,0.100259,4,16,1,0,0
0.133333,bulb,0.000171871,0.107692,0.107591,0.114412,4,16,1,0,0
0.166667,socket,0.000078149,0.029085,0.025115,0.114509,4,16,1,0,0
0.166667,bulb,0.000205917,0.096138,0.096138,0.105684,4,16,1,0,0
0.200000,socket,0.000055129,0.030978,0.030836,0.116686,4,16,1,0,0
0.200000,bulb,0.000117322,0.111703,0.111285,0.091803,4,16,1,0,0
0.233333,socket,0.000088789,0.027619,0.020634,0.102496,4,16,1,0,0
0.233333,bulb,0.000075481,0.032780,0.029640,0.101347,4,16,1,0,0
0.266667,socket,0.000045045,0.023960,0.023947,0.108017,4,16,1,0,0
0.266667,bulb,0.000736509,0.040687,0.036589,0.092319,4,16,1,0,0
0.300000,socket,0.000247057,0.080242,0.080238,0.090683,4,16,1,0,0
0.300000,bulb,0.000051508,0.040150,0.035909,0.088079,4,16,1,0,0
0.333333,socket,0.000042822,0.035483,0.035343,0.102737,4,16,1,0,0
0.333333,bulb,0.000077743,0.047958,0.045764,0.088628,4,16,1,0,0
0.366667,socket,0.000381316,0.046544,0.045763,0.101479,4,16,1,0,0
0.366667,bulb,0.000079443,0.042759,0.041511,0.116059,4,16,1,0,0
0.400000,socket,0.000032773,0.013125,0.013074,0.078388,4,16,1,0,0
0.400000,bulb,0.000208106,0.037231,0.037171,0.077223,4,16,1,0,0
0.433333,socket,0.000118192,0.026153,0.019817,0.103383,4,16,1,0,0
0.433333,bulb,0.000216415,0.049791,0.046021,0.088954,4,16,1,0,0
0.466667,socket,0.000015007,0.053360,0.053360,0.101463,4,16,1,0,0
0.466667,bulb,0.000103690,0.075297,0.075277,0.092644,4,16,1,0,0
0.500000,socket,0.000057907,0.039713,0.039576,0.095062,4,16,1,0,0
0.500000,bulb,0.000180237,0.052200,0.049878,0.100408,4,16,1,0,0
0.533333,socket,0.000134142,0.039206,0.039149,0.106654,4,16,1,0,0
0.533333,bulb,0.000271865,0.059534,0.036933,0.102915,4,16,1,0,0
0.566667,socket,0.000097197,0.044333,0.043351,0.107842,4,16,1,0,0
0.566667,bulb,0.000122858,0.063002,0.062318,0.090965,4,16,1,0,0
0.600000,socket,0.000127942,0.033197,0.023316,0.104881,4,16,1,0,0
0.600000,bulb,0.000073858,0.060321,0.060129,0.096160,4,16,1,0,0
0.633333,socket,0.000139626,0.066221,0.065354,0.075299,4,16,1,0,0
0.633333,bulb,0.000424752,0.014920,0.013345,0.102209,4,16,1,0,0
0.666667,socket,0.000018950,0.057061,0.057053,0.113789,4,16,1,0,0
0.666667,bulb,0.000280726,0.112273,0.112143,0.108849,4,16,1,0,0
0.700000,socket,0.000044956,0.022466,0.022362,0.092069,4,16,1,0,0
0.700000,bulb,0.000226406,0.085048,0.079606,0.108801,4,16,1,0,0
0.733333,socket,0.000208237,0.038355,0.034510,0.130926,4,16,1,0,0
0.733333,bulb,0.000344598,0.096349,0.095957,0.112525,4,16,1,0,0
0.766667,socket,0.000100134,0.050085,0.049858,0.095455,4,16,1,0,0
0.766667,bulb,0.000044794,0.059363,0.058394,0.107573,4,16,1,0,0
0.800000,socket,0.000069211,0.040389,0.040382,0.110841,4,16,1,0,0
0.800000,bulb,0.000206523,0.154831,0.154752,0.125937,4,16,1,0,0
0.833333,socket,0.000122030,0.027152,0.026914,0.116733,4,16,1,0,0
0.833333,bulb,0.000204097,0.060818,0.059623,0.108638,4,16,1,0,0
0.866667,socket,0.000028344,0.024334,0.024329,0.090887,4,16,1,0,0
0.866667,bulb,0.000122689,0.067836,0.058862,0.103835,4,16,1,0,0
0.900000,socket,0.000079355,0.035262,0.026818,0.093821,4,16,1,0,0
0.900000,bulb,0.000327479,0.082684,0.082645,0.082429,4,16,1,0,0
0.933333,socket,0.000035542,0.029565,0.029497,0.090268,4,16,1,0,0
0.933333,bulb,0.000181098,0.081459,0.073941,0.118462,4,16,1,0,0
0.966667,socket,0.000064739,0.019759,0.019467,0.129008,4,16,1,0,0
0.966667,bulb,0.000373161,0.089993,0.073620,0.075144,4,16,1,0,0
1.000000,socket,0.000116724,0.030693,0.030290,0.110624,4,16,1,0,0
1.000000,bulb,0.000058893,0.056953,0.055224,0.104979,4,16,1,0,0
1.033333,socket,0.000126046,0.018850,0.010593,0.106451,4,16,1,0,0
1.033333,bulb,0.000251884,0.051266,0.043142,0.107011,4,16,1,0,0
1.066667,socket,0.000266798,0.046460,0.045965,0.103666,4,16,1,0,0
1.066667,bulb,0.000492258,0.049333,0.048376,0.110105,4,16,1,0,0
1.100000,socket,0.000017402,0.023336,0.022591,0.103232,4,16,1,0,0
1.100000,bulb,0.000569307,0.107725,0.107478,0.112300,4,16,1,0,0
1.133333,socket,0.000032255,0.055815,0.055264,0.104066,4,16,1,0,0
1.133333,bulb,0.000124453,0.068003,0.047538,0.103387,4,16,1,0,0
1.166667,socket,0.000026900,0.034709,0.034631,0.110156,4,16,1,0,0
1.166667,bulb,0.000189177,0.167972,0.166947,0.106460,4,16,1,0,0
1.200000,socket,0.000018383,0.033067,0.031153,0.102580,4,16,1,0,0
1.200000,bulb,0.000362474,0.118426,0.118118,0.097045,4,16,1,0,0
1.233333,socket,0.000051436,0.027024,0.027009,0.090330,4,16,1,0,0
1.233333,bulb,0.000268849,0.106165,0.105944,0.111293,4,16,1,0,0
1.266667,socket,0.000065663,0.053805,0.049401,0.096746,4,16,1,0,0
1.266667,bulb,0.000245581,0.041201,0.025616,0.105457,4,16,1,0,0
1.300000,socket,0.000132080,0.030773,0.028379,0.089253,4,16,1,0,0
1.300000,bulb,0.000181632,0.114945,0.109556,0.089048,4,16,1,0,0
1.333333,socket,0.000141233,0.027220,0.027048,0.106449,4,16,1,0,0
1.333333,bulb,0.000106358,0.089185,0.087747,0.092326,4,16,1,0,0
1.366667,socket,0.000240547,0.029283,0.027215,0.094398,4,16,1,0,0
1.366667,bulb,0.000172927,0.077481,0.062221,0.107948,4,16,1,0,0
1.400000,socket,0.000031061,0.069726,0.067883,0.119316,4,16,1,0,0
1.400000,bulb,0.000205510,0.094673,0.090280,0.104180,4,16,1,0,0
1.433333,socket,0.000154973,0.041403,0.041358,0.093246,4,16,1,0,0
1.433333,bulb,0.000425374,0.088137,0.087691,0.090007,4,16,1,0,0
