stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,false_valid
255.548000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
255.548000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
255.748000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
255.748000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
255.982000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
255.982000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
256.216000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
256.216000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
256.416000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
256.416000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
256.648000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
256.648000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
256.881000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
256.881000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
257.048000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
257.048000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
257.281000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
257.281000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
257.481000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
257.481000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
257.682000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
257.682000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
257.848000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
257.848000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
258.081000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
258.081000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
258.282000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
258.282000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
258.481000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
258.481000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
258.681000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
258.681000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
258.881000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
258.881000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
259.081000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
259.081000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
259.281000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
259.281000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
259.481000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
259.481000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
259.648000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
259.648000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
259.848000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
259.848000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
260.050000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
260.050000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
260.282000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
260.282000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
260.448000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
260.448000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
260.648000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
260.648000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
260.883000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
260.883000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
261.081000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
261.081000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
261.281000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
261.281000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
261.448000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
261.448000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
261.648000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
261.648000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
261.849000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
261.849000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
262.048000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
262.048000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
262.215000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
262.215000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
262.423000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
262.423000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
262.621000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
262.621000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
262.822000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
262.822000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
263.021000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
263.021000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
263.221000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
263.221000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
263.388000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
263.388000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
263.621000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
263.621000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
263.787000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
263.787000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
264.021000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
264.021000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
264.254000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
264.254000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
264.421000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
264.421000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
264.655000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
264.655000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
264.821000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
264.821000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
265.021000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
265.021000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
265.221000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
265.221000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
265.421000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
265.421000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
265.622000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
265.622000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
265.854000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
265.854000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
266.087000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
266.087000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
266.287000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
266.287000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
266.487000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
266.487000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
266.722000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
