stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,false_valid
99.816000000,socket,0.049585031,0.151561,0.151559,-1.000000,0,0,1,0
99.816000000,socket,0.049585031,0.151561,0.151559,-1.000000,0,0,1,0
100.015000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
100.015000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
100.015000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
100.015000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
100.281000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
100.281000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
100.281000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
100.281000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
100.448000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
100.448000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
100.448000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
100.448000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
100.715000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
100.715000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
100.715000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
100.715000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
100.915000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
100.915000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
100.915000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
100.915000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
101.116000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
101.116000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
101.116000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
101.116000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
101.315000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
101.315000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
101.315000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
101.315000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
101.516000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
101.516000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
101.516000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
101.516000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
101.749000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
101.749000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
101.749000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
101.749000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
101.915000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
101.915000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
102.115000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
102.115000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
102.115000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
102.115000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
102.315000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
102.315000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
102.315000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
102.315000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
102.515000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
102.315000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
102.515000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
102.515000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
102.515000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
102.515000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
102.648000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
102.648000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
102.648000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
102.648000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
102.848000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
102.848000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
102.848000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
102.848000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
103.081000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
103.081000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
103.281000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
103.281000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
103.281000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
