stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,false_valid
53.416000000,socket,0.049585031,0.151561,0.151559,-1.000000,0,0,0,0
53.416000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
53.648000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
53.648000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
53.648000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
53.648000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
53.849000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
53.849000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
54.049000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
54.049000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
54.049000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
54.049000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
54.049000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
54.049000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
54.249000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
54.249000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
54.249000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
54.249000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
54.449000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
54.449000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
54.449000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
54.449000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
54.648000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
54.648000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
54.648000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
54.648000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
54.849000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
54.849000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
54.849000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
54.849000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
55.082000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
55.082000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
55.082000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
55.082000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
55.248000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
55.248000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
55.248000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
55.248000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
55.481000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
55.481000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
55.481000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
55.481000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
55.682000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
55.682000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
55.682000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
55.682000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
55.882000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
55.882000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
55.882000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
55.882000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
56.081000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
56.081000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
56.081000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
56.081000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
56.281000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
56.281000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
56.281000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
56.281000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
56.481000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
56.481000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
56.481000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
56.481000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
56.681000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
56.681000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
56.681000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
56.681000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
56.881000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
56.881000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
56.881000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
56.881000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
57.049000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
57.049000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
57.049000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
57.049000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
57.248000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
57.248000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
57.248000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
