aba_angular,aba_joint,aba_linear,generalized_residual_inf,minimum_joint_margin,minimum_rotor_margin,name,rollout_joint_drift,rollout_position_drift,rollout_rotation_drift,skipped,source,status,strict_feasible
3.523578297334343e-15,9.022774136734677e-14,3.553642783000387e-15,1.1666015375944028e-16,0.19996761173077549,4.144963801985201,folded,1.91759058694905e-07,4.842608098432261e-11,5.164364724164215e-10,False,iris_arm.launch initial folded configuration,STRICT_FEASIBLE,True
1.037539631055334e-14,3.373901145010144e-13,1.8551261307577188e-15,2.953366717850514e-16,0.1999996048156304,4.169302237391154,neutral,1.9957218204284975e-11,1.3736065507827262e-13,1.0211386673902541e-13,False,URDF neutral configuration,STRICT_FEASIBLE,True
5.06299525200929e-15,7.383579813977289e-13,1.7827903526086382e-15,1.5265566588595902e-16,0.19996761173079783,4.10819770870696,half_extended,2.1720715007360213e-10,1.268110415115808e-14,4.045273660056634e-14,False,P2.6 validation configuration within URDF limits; TODO_NEEDS_CALIBRATION against task workspace,STRICT_FEASIBLE,True
6.1344593871195525e-15,2.1487320538912973e-13,4.37367375562586e-17,1.5178830414797062e-16,0.19984637956497772,4.152667890915404,fully_extended,52.221330912587675,0.06072911584927174,0.4280138712043738,False,P2.6 maximum-forward validation configuration within URDF limits; TODO_NEEDS_CALIBRATION against task workspace,STRICT_FEASIBLE,True
8.211120701034751e-15,5.544635750802622e-13,7.94498749259256e-17,1.942890293094024e-16,0.19995123686546853,3.9902111954212214,left_offset,0.0001088626734360925,1.1075712859766306e-08,1.6859602838740548e-07,False,P2.6 lateral validation configuration within URDF limits,STRICT_FEASIBLE,True
7.712932804677604e-15,5.1318724038502835e-14,1.7770268313284723e-15,2.393918396847994e-16,0.19995185870333484,4.000629301183596,right_offset,1.0501597083956917e-06,1.0615609672873853e-10,1.6220057170587017e-09,False,P2.6 mirrored lateral validation configuration within URDF limits,STRICT_FEASIBLE,True
6.3387655992715495e-15,1.0602470398398803e-13,8.817875056193523e-17,1.6089560239684886e-16,0.19996761231522192,4.146946769310027,p2_terminal,1.93719980422855e-07,4.874804949643932e-11,4.961460411176315e-10,False,/home/zlhq/px4_fly_ws/uam_ocp/results/p2_pregrasp/trajectory.npz:terminal,STRICT_FEASIBLE,True
3.523578297334343e-15,9.022774136734677e-14,3.553642783000387e-15,1.1666015375944028e-16,0.19996761173077549,4.144963801985201,p2_node_00,1.91759058694905e-07,4.842608098432261e-11,5.164364724164215e-10,False,/home/zlhq/px4_fly_ws/uam_ocp/results/p2_pregrasp/trajectory.npz:state[0],STRICT_FEASIBLE,True
1.1811693222448877e-14,2.5063729388709437e-13,1.6372868348038664e-16,2.8796409701215e-16,0.1999764632712359,4.1564987048593185,p2_node_01,7.95695664165125e-09,1.6657601542705163e-12,9.88665036139742e-12,False,/home/zlhq/px4_fly_ws/uam_ocp/results/p2_pregrasp/trajectory.npz:state[4],STRICT_FEASIBLE,True
2.826801918319001e-15,1.7483514457586614e-13,1.78439323325956e-15,1.6436504934880247e-16,0.19996905103155757,4.158785460331185,p2_node_02,2.992853931446085e-08,6.3752576846927044e-12,4.760853708828768e-11,False,/home/zlhq/px4_fly_ws/uam_ocp/results/p2_pregrasp/trajectory.npz:state[8],STRICT_FEASIBLE,True
7.81158757910137e-15,2.3546561622667677e-14,3.552936758771909e-15,3.552713678800501e-15,0.1999638218558568,4.156891688218754,p2_node_03,6.655158539346376e-08,1.521531797450307e-11,1.349547938384581e-10,False,/home/zlhq/px4_fly_ws/uam_ocp/results/p2_pregrasp/trajectory.npz:state[13],STRICT_FEASIBLE,True
2.0409551298200274e-14,3.462429640707813e-13,1.808396608992266e-15,4.822531263215524e-16,0.19996409131409412,4.154585504688484,p2_node_04,1.0245777953798614e-07,2.406916732060702e-11,2.2291657922687487e-10,False,/home/zlhq/px4_fly_ws/uam_ocp/results/p2_pregrasp/trajectory.npz:state[17],STRICT_FEASIBLE,True
1.0946214520828828e-14,9.546357439961255e-14,3.553577604311737e-15,3.5041414214731503e-16,0.19996583542987872,4.152032112973591,p2_node_05,4.177959550104284e-08,1.0219631169650147e-11,9.647213476400566e-11,False,/home/zlhq/px4_fly_ws/uam_ocp/results/p2_pregrasp/trajectory.npz:state[22],STRICT_FEASIBLE,True
8.402370808265631e-15,1.4893951186972784e-13,6.781193108525659e-17,1.7694179454963432e-16,0.19996687091073195,4.150412570911133,p2_node_06,2.11458536772328e-07,5.133523586415418e-11,4.915450015854271e-10,False,/home/zlhq/px4_fly_ws/uam_ocp/results/p2_pregrasp/trajectory.npz:state[26],STRICT_FEASIBLE,True
9.071841566782535e-15,7.575045778157953e-14,9.023244352863428e-17,2.671474153004283e-16,0.19996746476987884,4.148822917200432,p2_node_07,7.666685067852259e-08,1.893359024074779e-11,1.853775772896741e-10,False,/home/zlhq/px4_fly_ws/uam_ocp/results/p2_pregrasp/trajectory.npz:state[31],STRICT_FEASIBLE,True
3.757702567677818e-15,7.767612930088324e-14,1.0786982135410605e-16,9.71445146547012e-17,0.1999675943811865,4.147806656152287,p2_node_08,1.9380646628728026e-07,4.8405423732192624e-11,4.834308584000063e-10,False,/home/zlhq/px4_fly_ws/uam_ocp/results/p2_pregrasp/trajectory.npz:state[35],STRICT_FEASIBLE,True
6.3387655992715495e-15,1.0602470398398803e-13,8.817875056193523e-17,1.6089560239684886e-16,0.19996761231522192,4.146946769310027,p2_node_09,1.93719980422855e-07,4.874804949643932e-11,4.961460411176315e-10,False,/home/zlhq/px4_fly_ws/uam_ocp/results/p2_pregrasp/trajectory.npz:state[40],STRICT_FEASIBLE,True
